WE,WF,impressions,demand_factor,100-200-agreement
14,0,2000,0.25,1.0
13,1,2000,0.25,1.0
12,2,2000,0.25,1.0
11,3,2000,0.25,1.0
10,4,2000,0.25,1.0
9,5,2000,0.25,1.0
8,6,2000,0.25,0.0
7,7,2000,0.25,0.0
6,8,2000,0.25,1.0
5,9,2000,0.25,1.0
4,10,2000,0.25,1.0
3,11,2000,0.25,1.0
2,12,2000,0.25,1.0
1,13,2000,0.25,1.0
0,14,2000,0.25,1.0
14,0,2000,0.5,1.0
13,1,2000,0.5,1.0
12,2,2000,0.5,1.0
11,3,2000,0.5,1.0
10,4,2000,0.5,1.0
9,5,2000,0.5,0.0
8,6,2000,0.5,0.0
7,7,2000,0.5,0.0
6,8,2000,0.5,0.0
5,9,2000,0.5,1.0
4,10,2000,0.5,1.0
3,11,2000,0.5,1.0
2,12,2000,0.5,1.0
1,13,2000,0.5,1.0
0,14,2000,0.5,1.0
14,0,2000,0.75,1.0
13,1,2000,0.75,1.0
12,2,2000,0.75,1.0
11,3,2000,0.75,1.0
10,4,2000,0.75,1.0
9,5,2000,0.75,1.0
8,6,2000,0.75,1.0
7,7,2000,0.75,1.0
6,8,2000,0.75,1.0
5,9,2000,0.75,1.0
4,10,2000,0.75,0.0
3,11,2000,0.75,0.0
2,12,2000,0.75,1.0
1,13,2000,0.75,1.0
0,14,2000,0.75,1.0
14,0,2000,1.0,1.0
13,1,2000,1.0,1.0
12,2,2000,1.0,1.0
11,3,2000,1.0,1.0
10,4,2000,1.0,1.0
9,5,2000,1.0,1.0
8,6,2000,1.0,0.0
7,7,2000,1.0,0.0
6,8,2000,1.0,0.0
5,9,2000,1.0,0.0
4,10,2000,1.0,1.0
3,11,2000,1.0,1.0
2,12,2000,1.0,1.0
1,13,2000,1.0,1.0
0,14,2000,1.0,1.0
14,0,2000,1.25,1.0
13,1,2000,1.25,1.0
12,2,2000,1.25,1.0
11,3,2000,1.25,1.0
10,4,2000,1.25,1.0
9,5,2000,1.25,1.0
8,6,2000,1.25,1.0
7,7,2000,1.25,1.0
6,8,2000,1.25,1.0
5,9,2000,1.25,1.0
4,10,2000,1.25,1.0
3,11,2000,1.25,1.0
2,12,2000,1.25,1.0
1,13,2000,1.25,1.0
0,14,2000,1.25,1.0
14,0,2000,1.5,1.0
13,1,2000,1.5,1.0
12,2,2000,1.5,1.0
11,3,2000,1.5,1.0
10,4,2000,1.5,1.0
9,5,2000,1.5,1.0
8,6,2000,1.5,1.0
7,7,2000,1.5,1.0
6,8,2000,1.5,1.0
5,9,2000,1.5,0.0
4,10,2000,1.5,0.0
3,11,2000,1.5,1.0
2,12,2000,1.5,1.0
1,13,2000,1.5,1.0
0,14,2000,1.5,1.0
14,0,2000,1.75,1.0
13,1,2000,1.75,1.0
12,2,2000,1.75,1.0
11,3,2000,1.75,1.0
10,4,2000,1.75,1.0
9,5,2000,1.75,1.0
8,6,2000,1.75,1.0
7,7,2000,1.75,1.0
6,8,2000,1.75,0.0
5,9,2000,1.75,0.0
4,10,2000,1.75,0.0
3,11,2000,1.75,0.0
2,12,2000,1.75,1.0
1,13,2000,1.75,1.0
0,14,2000,1.75,1.0
14,0,2000,2.0,1.0
13,1,2000,2.0,1.0
12,2,2000,2.0,1.0
11,3,2000,2.0,1.0
10,4,2000,2.0,1.0
9,5,2000,2.0,1.0
8,6,2000,2.0,1.0
7,7,2000,2.0,1.0
6,8,2000,2.0,1.0
5,9,2000,2.0,0.0
4,10,2000,2.0,0.0
3,11,2000,2.0,0.0
2,12,2000,2.0,0.0
1,13,2000,2.0,1.0
0,14,2000,2.0,1.0
14,0,2000,2.25,1.0
13,1,2000,2.25,1.0
12,2,2000,2.25,1.0
11,3,2000,2.25,1.0
10,4,2000,2.25,1.0
9,5,2000,2.25,1.0
8,6,2000,2.25,1.0
7,7,2000,2.25,1.0
6,8,2000,2.25,1.0
5,9,2000,2.25,0.0
4,10,2000,2.25,0.0
3,11,2000,2.25,0.0
2,12,2000,2.25,0.0
1,13,2000,2.25,1.0
0,14,2000,2.25,1.0
14,0,2000,2.5,1.0
13,1,2000,2.5,1.0
12,2,2000,2.5,1.0
11,3,2000,2.5,1.0
10,4,2000,2.5,1.0
9,5,2000,2.5,1.0
8,6,2000,2.5,1.0
7,7,2000,2.5,1.0
6,8,2000,2.5,1.0
5,9,2000,2.5,1.0
4,10,2000,2.5,1.0
3,11,2000,2.5,1.0
2,12,2000,2.5,1.0
1,13,2000,2.5,0.0
0,14,2000,2.5,0.0
14,0,2000,2.75,1.0
13,1,2000,2.75,1.0
12,2,2000,2.75,1.0
11,3,2000,2.75,1.0
10,4,2000,2.75,1.0
9,5,2000,2.75,1.0
8,6,2000,2.75,1.0
7,7,2000,2.75,1.0
6,8,2000,2.75,1.0
5,9,2000,2.75,1.0
4,10,2000,2.75,0.0
3,11,2000,2.75,0.0
2,12,2000,2.75,1.0
1,13,2000,2.75,1.0
0,14,2000,2.75,1.0
14,0,2000,3.0,1.0
13,1,2000,3.0,1.0
12,2,2000,3.0,1.0
11,3,2000,3.0,1.0
10,4,2000,3.0,1.0
9,5,2000,3.0,1.0
8,6,2000,3.0,1.0
7,7,2000,3.0,1.0
6,8,2000,3.0,1.0
5,9,2000,3.0,1.0
4,10,2000,3.0,1.0
3,11,2000,3.0,1.0
2,12,2000,3.0,1.0
1,13,2000,3.0,0.0
0,14,2000,3.0,0.0
