WE,WF,impressions,demand_factor,200-400-agreement
11,0,2000,0.25,1.0
10,1,2000,0.25,1.0
9,2,2000,0.25,1.0
8,3,2000,0.25,1.0
7,4,2000,0.25,1.0
6,5,2000,0.25,0.0
5,6,2000,0.25,0.0
4,7,2000,0.25,1.0
3,8,2000,0.25,1.0
2,9,2000,0.25,1.0
1,10,2000,0.25,1.0
0,11,2000,0.25,1.0
11,0,2000,0.5,1.0
10,1,2000,0.5,1.0
9,2,2000,0.5,1.0
8,3,2000,0.5,1.0
7,4,2000,0.5,1.0
6,5,2000,0.5,0.0
5,6,2000,0.5,0.0
4,7,2000,0.5,0.0
3,8,2000,0.5,1.0
2,9,2000,0.5,1.0
1,10,2000,0.5,1.0
0,11,2000,0.5,1.0
11,0,2000,0.75,1.0
10,1,2000,0.75,1.0
9,2,2000,0.75,1.0
8,3,2000,0.75,1.0
7,4,2000,0.75,1.0
6,5,2000,0.75,0.0
5,6,2000,0.75,0.0
4,7,2000,0.75,0.0
3,8,2000,0.75,1.0
2,9,2000,0.75,1.0
1,10,2000,0.75,1.0
0,11,2000,0.75,1.0
11,0,2000,1.0,1.0
10,1,2000,1.0,1.0
9,2,2000,1.0,1.0
8,3,2000,1.0,1.0
7,4,2000,1.0,1.0
6,5,2000,1.0,1.0
5,6,2000,1.0,1.0
4,7,2000,1.0,0.0
3,8,2000,1.0,0.0
2,9,2000,1.0,1.0
1,10,2000,1.0,1.0
0,11,2000,1.0,1.0
11,0,2000,1.25,1.0
10,1,2000,1.25,1.0
9,2,2000,1.25,1.0
8,3,2000,1.25,1.0
7,4,2000,1.25,1.0
6,5,2000,1.25,1.0
5,6,2000,1.25,1.0
4,7,2000,1.25,0.0
3,8,2000,1.25,0.0
2,9,2000,1.25,0.0
1,10,2000,1.25,1.0
0,11,2000,1.25,1.0
11,0,2000,1.5,1.0
10,1,2000,1.5,1.0
9,2,2000,1.5,1.0
8,3,2000,1.5,1.0
7,4,2000,1.5,1.0
6,5,2000,1.5,1.0
5,6,2000,1.5,1.0
4,7,2000,1.5,1.0
3,8,2000,1.5,1.0
2,9,2000,1.5,0.0
1,10,2000,1.5,0.0
0,11,2000,1.5,1.0
11,0,2000,1.75,1.0
10,1,2000,1.75,1.0
9,2,2000,1.75,1.0
8,3,2000,1.75,1.0
7,4,2000,1.75,1.0
6,5,2000,1.75,1.0
5,6,2000,1.75,1.0
4,7,2000,1.75,1.0
3,8,2000,1.75,0.0
2,9,2000,1.75,0.0
1,10,2000,1.75,1.0
0,11,2000,1.75,1.0
11,0,2000,2.0,1.0
10,1,2000,2.0,1.0
9,2,2000,2.0,1.0
8,3,2000,2.0,1.0
7,4,2000,2.0,1.0
6,5,2000,2.0,1.0
5,6,2000,2.0,1.0
4,7,2000,2.0,1.0
3,8,2000,2.0,1.0
2,9,2000,2.0,0.0
1,10,2000,2.0,0.0
0,11,2000,2.0,0.0
11,0,2000,2.25,1.0
10,1,2000,2.25,1.0
9,2,2000,2.25,1.0
8,3,2000,2.25,1.0
7,4,2000,2.25,1.0
6,5,2000,2.25,1.0
5,6,2000,2.25,1.0
4,7,2000,2.25,1.0
3,8,2000,2.25,1.0
2,9,2000,2.25,1.0
1,10,2000,2.25,0.0
0,11,2000,2.25,0.0
11,0,2000,2.5,1.0
10,1,2000,2.5,1.0
9,2,2000,2.5,1.0
8,3,2000,2.5,1.0
7,4,2000,2.5,1.0
6,5,2000,2.5,1.0
5,6,2000,2.5,1.0
4,7,2000,2.5,1.0
3,8,2000,2.5,1.0
2,9,2000,2.5,1.0
1,10,2000,2.5,1.0
0,11,2000,2.5,1.0
11,0,2000,2.75,1.0
10,1,2000,2.75,1.0
9,2,2000,2.75,1.0
8,3,2000,2.75,1.0
7,4,2000,2.75,1.0
6,5,2000,2.75,1.0
5,6,2000,2.75,1.0
4,7,2000,2.75,1.0
3,8,2000,2.75,1.0
2,9,2000,2.75,1.0
1,10,2000,2.75,1.0
0,11,2000,2.75,1.0
11,0,2000,3.0,1.0
10,1,2000,3.0,1.0
9,2,2000,3.0,1.0
8,3,2000,3.0,1.0
7,4,2000,3.0,1.0
6,5,2000,3.0,1.0
5,6,2000,3.0,1.0
4,7,2000,3.0,1.0
3,8,2000,3.0,1.0
2,9,2000,3.0,1.0
1,10,2000,3.0,1.0
0,11,2000,3.0,1.0
