reserve,impressions,demand_factor,WE,WF,revenue_mean
84,2000,0.25,0,8,12.437565274359088
85,2000,0.25,0,8,11.69561306741893
86,2000,0.25,0,8,12.01428092187827
87,2000,0.25,0,8,11.24501482424654
88,2000,0.25,0,8,11.210644578556948
89,2000,0.25,0,8,11.479326304227042
90,2000,0.25,0,8,11.120706937093832
91,2000,0.25,0,8,10.28884621032016
92,2000,0.25,0,8,10.416828539137716
93,2000,0.25,0,8,9.85474532029642
94,2000,0.25,0,8,9.47196832574134
95,2000,0.25,0,8,9.261349901943277
96,2000,0.25,0,8,8.68189786387091
97,2000,0.25,0,8,8.520490192559237
98,2000,0.25,0,8,8.035908323738017
99,2000,0.25,0,8,7.089753371620732
100,2000,0.25,0,8,7.027925488075421
101,2000,0.25,0,8,6.121995153587059
102,2000,0.25,0,8,5.713559136520643
103,2000,0.25,0,8,5.231581668639018
104,2000,0.25,0,8,4.671121931782474
105,2000,0.25,1,7,4.481356647147943
106,2000,0.25,0,8,3.7317030027624023
107,2000,0.25,3,5,3.3127604277808618
108,2000,0.25,0,8,2.992788183415838
109,2000,0.25,0,8,2.7743702847071416
110,2000,0.25,0,8,2.3047409862422827
111,2000,0.25,0,8,1.9869186240299523
112,2000,0.25,1,7,1.7437506630970416
113,2000,0.25,0,8,1.4301562500000014
114,2000,0.25,0,8,1.1605660037006804
115,2000,0.25,6,2,0.9369105350922748
116,2000,0.25,7,1,0.8449955666262512
117,2000,0.25,3,5,0.6945046875000002
118,2000,0.25,0,8,0.5483572767020616
119,2000,0.25,0,8,0.3941875000000003
120,2000,0.25,6,2,0.31575
121,2000,0.25,7,1,0.2480611366902963
122,2000,0.25,6,2,0.16241250000000015
123,2000,0.25,2,6,0.18031796706181166
124,2000,0.25,8,0,0.12709999999999996
125,2000,0.25,7,1,0.103125
126,2000,0.25,0,8,0.07363125000000002
127,2000,0.25,7,1,0.07937500000000006
128,2000,0.25,3,5,0.042800000000000005
129,2000,0.25,4,4,0.031846875
130,2000,0.25,0,8,0.023562500000000014
0,2000,0.5,3,5,4.646436206915181
1,2000,0.5,3,5,6.379117425388879
2,2000,0.5,4,4,9.252997011903565
3,2000,0.5,4,4,10.666595811824413
4,2000,0.5,4,4,12.243469870228466
5,2000,0.5,6,2,15.505384801638243
6,2000,0.5,5,3,16.045917124039043
7,2000,0.5,4,4,16.44697138046441
8,2000,0.5,4,4,17.053080001885554
9,2000,0.5,3,5,17.16869290434261
10,2000,0.5,3,5,18.239738449274093
11,2000,0.5,2,6,18.348815248080946
12,2000,0.5,3,5,20.47834000467913
13,2000,0.5,4,4,20.21175334404576
14,2000,0.5,3,5,20.96756730862672
15,2000,0.5,2,6,20.915503931198014
16,2000,0.5,1,7,21.47336223939789
17,2000,0.5,0,8,22.404106966253124
18,2000,0.5,0,8,22.582290997061328
19,2000,0.5,0,8,22.98007195754785
20,2000,0.5,1,7,23.366103883796587
21,2000,0.5,0,8,23.127443063163838
22,2000,0.5,1,7,22.987716672257587
23,2000,0.5,2,6,23.38186593442065
24,2000,0.5,0,8,23.597226639690305
25,2000,0.5,1,7,23.797507030281647
26,2000,0.5,2,6,23.972468389265977
27,2000,0.5,0,8,24.480884075645903
28,2000,0.5,1,7,24.31289608813304
29,2000,0.5,1,7,24.294885047602627
30,2000,0.5,1,7,24.51327137444324
31,2000,0.5,1,7,24.633391384649638
32,2000,0.5,0,8,24.602705502082443
33,2000,0.5,0,8,24.016456737624956
34,2000,0.5,0,8,24.838521057897104
35,2000,0.5,0,8,24.293310433060874
36,2000,0.5,0,8,24.721124075154638
37,2000,0.5,0,8,24.617190003141975
38,2000,0.5,0,8,25.169204948278228
39,2000,0.5,0,8,25.050973521037378
40,2000,0.5,0,8,24.960084179279903
41,2000,0.5,0,8,24.57559423425706
42,2000,0.5,0,8,24.72401097421071
43,2000,0.5,0,8,24.966160199641372
44,2000,0.5,0,8,24.945488714395708
45,2000,0.5,0,8,25.516369304597923
