reserve,impressions,demand_factor,WE,WF,revenue_mean,opt_reserve
0,2000,3.0,0,8,14.97238723084931,0.8002515581085258
1,2000,3.0,0,8,12.801397364815495,0.8172472176089707
2,2000,3.0,0,8,17.79985635213087,0.8086527608624803
3,2000,3.0,0,8,20.82380618629526,0.8343711903519887
4,2000,3.0,0,8,19.898204102729608,0.8198257126082195
5,2000,3.0,0,8,22.636782220005887,0.8421351522979538
6,2000,3.0,0,8,24.33569447805345,0.8231437095165474
7,2000,3.0,0,8,26.26060010035101,0.7981803259984357
8,2000,3.0,0,8,27.200284206581337,0.8261271021610913
9,2000,3.0,0,8,30.867236488589654,0.8064619934758793
10,2000,3.0,0,8,31.718039356224278,0.8147200833592176
11,2000,3.0,0,8,34.22207917822017,0.8144444835111059
12,2000,3.0,0,8,35.34392693329402,0.7906343023520656
13,2000,3.0,0,8,36.18352155800554,0.7933587808282305
14,2000,3.0,0,8,37.088688068368796,0.7956661562556634
15,2000,3.0,0,8,41.68227273394889,0.8219463646002922
16,2000,3.0,0,8,42.73646396457482,0.8060092787162964
17,2000,3.0,0,8,44.16895715162146,0.8260742322061019
18,2000,3.0,0,8,45.45141790679775,0.8201785639811936
19,2000,3.0,0,8,47.51726744674881,0.8057429150708414
20,2000,3.0,0,8,50.23737265742256,0.7936876447288874
21,2000,3.0,0,8,52.53771605247509,0.8133807105059312
22,2000,3.0,0,8,53.00700351385189,0.8251748845672792
23,2000,3.0,0,8,56.588532683461025,0.8234657333019556
24,2000,3.0,0,8,58.16737284589728,0.8091897544403038
25,2000,3.0,0,8,58.604791011033534,0.7966841516406282
26,2000,3.0,0,8,59.3749409719341,0.7979460089004236
27,2000,3.0,0,8,63.90290649688938,0.8269641395578239
28,2000,3.0,0,8,65.50709175830144,0.7984952280071406
29,2000,3.0,0,8,66.44878517990364,0.8022430016386854
30,2000,3.0,0,8,69.14095527429905,0.8317480699411703
31,2000,3.0,0,8,70.44774815557524,0.8306326751176834
32,2000,3.0,0,8,69.76137424397898,0.7914606926902843
33,2000,3.0,0,8,73.27263635033862,0.7987738046018762
34,2000,3.0,0,8,75.22700718062943,0.8050543420374559
35,2000,3.0,0,8,77.26726743096134,0.8080479344621734
