reserve,impressions,demand_factor,WE,WF,revenue_mean,opt_reserve
0,2000,1.5,2,6,14.400110996645287,0.7974784540175456
1,2000,1.5,1,7,10.410573790639226,0.8238031243671399
2,2000,1.5,1,7,12.656855441921635,0.8218399969892668
3,2000,1.5,0,8,10.970965495791843,0.7738331098626664
4,2000,1.5,1,7,15.291175555970558,0.808100004521945
5,2000,1.5,1,7,17.36770470649763,0.8165579079519256
6,2000,1.5,0,8,15.989223873661757,0.8150641406830745
7,2000,1.5,0,8,19.578053190352787,0.8157556252585236
8,2000,1.5,1,7,22.958660839649475,0.8128205808603585
9,2000,1.5,1,7,24.67395744156063,0.7994736256583937
10,2000,1.5,1,7,26.94997754420635,0.8208396687945644
11,2000,1.5,1,7,28.62326064143864,0.8012165376253033
12,2000,1.5,1,7,29.925608854897085,0.7977593312081271
13,2000,1.5,0,8,29.662716310732712,0.7984466710649082
14,2000,1.5,1,7,33.770769203189644,0.8031903016116069
15,2000,1.5,2,6,37.036471835756494,0.7726412478355621
16,2000,1.5,1,7,36.65857744294085,0.7886686623387413
17,2000,1.5,0,8,35.72390000615418,0.8209035943641474
18,2000,1.5,1,7,39.62464917659688,0.8066767855718914
19,2000,1.5,1,7,42.32940792372743,0.8126115568476239
20,2000,1.5,2,6,44.470738410462296,0.80551744498161
21,2000,1.5,0,8,42.90068066024833,0.8021110105543123
22,2000,1.5,1,7,45.4074091343707,0.7998785397985579
23,2000,1.5,1,7,46.69671356787243,0.7688681064373144
24,2000,1.5,2,6,49.28478548060893,0.8114054437835041
25,2000,1.5,2,6,50.37006358760671,0.7733893200382531
26,2000,1.5,2,6,51.79036726244016,0.7917725903389008
27,2000,1.5,1,7,51.65526292818435,0.8252400291650039
28,2000,1.5,0,8,50.608548843931246,0.7859612963891829
29,2000,1.5,1,7,53.012274356459464,0.7735731412623114
30,2000,1.5,1,7,54.09039324596918,0.7956412561571929
31,2000,1.5,0,8,54.12011880383223,0.8117475628644811
32,2000,1.5,1,7,56.66949593827669,0.779561803962525
33,2000,1.5,0,8,56.40207505478029,0.33
34,2000,1.5,0,8,56.28632043979511,0.34
35,2000,1.5,0,8,59.04068469034961,0.35000000000000003
36,2000,1.5,0,8,60.04425405502318,0.36
37,2000,1.5,0,8,59.640513230044576,0.37
38,2000,1.5,0,8,61.67108815067131,0.38
39,2000,1.5,0,8,62.48033851736451,0.39
40,2000,1.5,0,8,62.513408472385855,0.4
41,2000,1.5,0,8,64.11021888707594,0.41
