WE,WF,impressions,demand_factor,direction_100,direction_200
6,0,2000,0.25,f,f
5,1,2000,0.25,f,f
4,2,2000,0.25,s,f
3,3,2000,0.25,s,s
2,4,2000,0.25,f,b
1,5,2000,0.25,s,s
0,6,2000,0.25,b,s
6,0,2000,0.5,f,f
5,1,2000,0.5,f,f
4,2,2000,0.5,f,f
3,3,2000,0.5,f,f
2,4,2000,0.5,f,s
1,5,2000,0.5,s,b
0,6,2000,0.5,b,b
6,0,2000,0.75,f,f
5,1,2000,0.75,f,f
4,2,2000,0.75,f,f
3,3,2000,0.75,f,f
2,4,2000,0.75,s,f
1,5,2000,0.75,s,s
0,6,2000,0.75,s,b
6,0,2000,1.0,f,f
5,1,2000,1.0,f,f
4,2,2000,1.0,f,f
3,3,2000,1.0,f,s
2,4,2000,1.0,s,b
1,5,2000,1.0,b,b
0,6,2000,1.0,b,b
6,0,2000,1.25,f,f
5,1,2000,1.25,f,f
4,2,2000,1.25,f,f
3,3,2000,1.25,f,f
2,4,2000,1.25,f,f
1,5,2000,1.25,s,f
0,6,2000,1.25,b,s
6,0,2000,1.5,f,f
5,1,2000,1.5,f,f
4,2,2000,1.5,f,f
3,3,2000,1.5,f,f
2,4,2000,1.5,f,f
1,5,2000,1.5,s,f
0,6,2000,1.5,b,s
6,0,2000,1.75,f,f
5,1,2000,1.75,f,f
4,2,2000,1.75,f,f
3,3,2000,1.75,f,f
2,4,2000,1.75,f,f
1,5,2000,1.75,f,s
0,6,2000,1.75,s,b
6,0,2000,2.0,f,f
5,1,2000,2.0,f,f
4,2,2000,2.0,f,f
3,3,2000,2.0,f,f
2,4,2000,2.0,f,f
1,5,2000,2.0,f,f
0,6,2000,2.0,s,s
6,0,2000,2.25,f,f
5,1,2000,2.25,f,f
4,2,2000,2.25,f,f
3,3,2000,2.25,f,f
2,4,2000,2.25,f,f
1,5,2000,2.25,f,f
0,6,2000,2.25,s,s
6,0,2000,2.5,f,f
5,1,2000,2.5,f,f
4,2,2000,2.5,f,f
3,3,2000,2.5,f,f
2,4,2000,2.5,f,f
1,5,2000,2.5,f,f
0,6,2000,2.5,s,s
6,0,2000,2.75,f,f
5,1,2000,2.75,f,f
4,2,2000,2.75,f,f
3,3,2000,2.75,f,f
2,4,2000,2.75,f,f
1,5,2000,2.75,f,f
0,6,2000,2.75,s,s
6,0,2000,3.0,f,f
5,1,2000,3.0,f,f
4,2,2000,3.0,f,f
3,3,2000,3.0,f,f
2,4,2000,3.0,f,f
1,5,2000,3.0,s,f
0,6,2000,3.0,b,s
