WE1,WF1,WE2,WF2,impressions,demand_factor,direction_100,direction_200
19,0,18,1,2000,0.25,f,f
18,1,17,2,2000,0.25,f,f
17,2,16,3,2000,0.25,f,f
16,3,15,4,2000,0.25,f,f
15,4,14,5,2000,0.25,f,f
14,5,13,6,2000,0.25,b,f
13,6,12,7,2000,0.25,b,b
12,7,11,8,2000,0.25,b,b
11,8,10,9,2000,0.25,b,b
10,9,9,10,2000,0.25,b,b
9,10,8,11,2000,0.25,b,b
8,11,7,12,2000,0.25,b,b
7,12,6,13,2000,0.25,b,b
6,13,5,14,2000,0.25,b,b
5,14,4,15,2000,0.25,b,b
4,15,3,16,2000,0.25,b,b
3,16,2,17,2000,0.25,b,b
2,17,1,18,2000,0.25,b,b
1,18,0,19,2000,0.25,b,b
19,0,18,1,2000,0.5,f,f
18,1,17,2,2000,0.5,f,f
17,2,16,3,2000,0.5,f,f
16,3,15,4,2000,0.5,f,f
15,4,14,5,2000,0.5,f,f
14,5,13,6,2000,0.5,f,f
13,6,12,7,2000,0.5,f,f
12,7,11,8,2000,0.5,f,f
11,8,10,9,2000,0.5,f,b
10,9,9,10,2000,0.5,b,b
9,10,8,11,2000,0.5,b,b
8,11,7,12,2000,0.5,b,b
7,12,6,13,2000,0.5,b,b
6,13,5,14,2000,0.5,b,b
5,14,4,15,2000,0.5,b,b
4,15,3,16,2000,0.5,b,b
3,16,2,17,2000,0.5,b,b
2,17,1,18,2000,0.5,b,b
1,18,0,19,2000,0.5,b,b
19,0,18,1,2000,0.75,b,f
18,1,17,2,2000,0.75,f,f
17,2,16,3,2000,0.75,f,f
16,3,15,4,2000,0.75,f,f
15,4,14,5,2000,0.75,f,f
14,5,13,6,2000,0.75,f,f
13,6,12,7,2000,0.75,f,f
12,7,11,8,2000,0.75,f,b
11,8,10,9,2000,0.75,f,b
10,9,9,10,2000,0.75,f,b
9,10,8,11,2000,0.75,b,b
8,11,7,12,2000,0.75,b,b
7,12,6,13,2000,0.75,b,b
6,13,5,14,2000,0.75,b,b
5,14,4,15,2000,0.75,b,b
4,15,3,16,2000,0.75,b,b
3,16,2,17,2000,0.75,b,b
2,17,1,18,2000,0.75,b,b
1,18,0,19,2000,0.75,b,b
19,0,18,1,2000,1.0,f,f
18,1,17,2,2000,1.0,f,f
17,2,16,3,2000,1.0,f,f
16,3,15,4,2000,1.0,f,f
15,4,14,5,2000,1.0,f,f
14,5,13,6,2000,1.0,f,f
13,6,12,7,2000,1.0,f,f
12,7,11,8,2000,1.0,f,f
11,8,10,9,2000,1.0,f,b
10,9,9,10,2000,1.0,b,f
9,10,8,11,2000,1.0,b,b
8,11,7,12,2000,1.0,b,b
7,12,6,13,2000,1.0,b,b
6,13,5,14,2000,1.0,b,b
5,14,4,15,2000,1.0,b,b
4,15,3,16,2000,1.0,b,b
