WE1,WF1,WE2,WF2,impressions,demand_factor,direction_200,direction_400
17,0,16,1,2000,0.25,f,f
16,1,15,2,2000,0.25,f,f
15,2,14,3,2000,0.25,f,f
14,3,13,4,2000,0.25,f,f
13,4,12,5,2000,0.25,f,f
12,5,11,6,2000,0.25,b,b
11,6,10,7,2000,0.25,b,b
10,7,9,8,2000,0.25,b,b
9,8,8,9,2000,0.25,b,b
8,9,7,10,2000,0.25,b,b
7,10,6,11,2000,0.25,b,b
6,11,5,12,2000,0.25,b,b
5,12,4,13,2000,0.25,b,b
4,13,3,14,2000,0.25,b,b
3,14,2,15,2000,0.25,b,b
2,15,1,16,2000,0.25,b,b
1,16,0,17,2000,0.25,b,b
17,0,16,1,2000,0.5,f,f
16,1,15,2,2000,0.5,f,f
15,2,14,3,2000,0.5,f,f
14,3,13,4,2000,0.5,f,f
13,4,12,5,2000,0.5,f,f
12,5,11,6,2000,0.5,f,f
11,6,10,7,2000,0.5,f,f
10,7,9,8,2000,0.5,b,b
9,8,8,9,2000,0.5,b,b
8,9,7,10,2000,0.5,b,b
7,10,6,11,2000,0.5,b,b
6,11,5,12,2000,0.5,b,b
5,12,4,13,2000,0.5,b,b
4,13,3,14,2000,0.5,b,b
3,14,2,15,2000,0.5,b,b
2,15,1,16,2000,0.5,b,b
1,16,0,17,2000,0.5,b,b
17,0,16,1,2000,0.75,f,f
16,1,15,2,2000,0.75,f,f
15,2,14,3,2000,0.75,f,f
14,3,13,4,2000,0.75,f,f
13,4,12,5,2000,0.75,f,f
12,5,11,6,2000,0.75,f,f
11,6,10,7,2000,0.75,f,f
10,7,9,8,2000,0.75,f,f
9,8,8,9,2000,0.75,b,b
8,9,7,10,2000,0.75,b,b
7,10,6,11,2000,0.75,b,b
6,11,5,12,2000,0.75,b,b
5,12,4,13,2000,0.75,b,b
4,13,3,14,2000,0.75,b,b
3,14,2,15,2000,0.75,b,b
2,15,1,16,2000,0.75,b,b
1,16,0,17,2000,0.75,b,b
17,0,16,1,2000,1.0,f,f
16,1,15,2,2000,1.0,f,f
15,2,14,3,2000,1.0,f,f
14,3,13,4,2000,1.0,f,f
13,4,12,5,2000,1.0,f,f
12,5,11,6,2000,1.0,f,f
11,6,10,7,2000,1.0,f,f
10,7,9,8,2000,1.0,f,f
9,8,8,9,2000,1.0,f,f
8,9,7,10,2000,1.0,b,f
7,10,6,11,2000,1.0,b,b
6,11,5,12,2000,1.0,b,b
5,12,4,13,2000,1.0,b,b
4,13,3,14,2000,1.0,b,b
3,14,2,15,2000,1.0,b,b
2,15,1,16,2000,1.0,b,b
1,16,0,17,2000,1.0,b,b
17,0,16,1,2000,1.25,f,f
16,1,15,2,2000,1.25,f,f
15,2,14,3,2000,1.25,f,f
14,3,13,4,2000,1.25,f,f
13,4,12,5,2000,1.25,f,f
12,5,11,6,2000,1.25,f,f
11,6,10,7,2000,1.25,f,f
10,7,9,8,2000,1.25,b,b
