WE,WF,impressions,demand_factor,direction_200,direction_400
18,0,2000,0.25,f,f
17,1,2000,0.25,f,f
16,2,2000,0.25,f,f
15,3,2000,0.25,f,f
14,4,2000,0.25,s,f
13,5,2000,0.25,b,f
12,6,2000,0.25,b,f
11,7,2000,0.25,b,s
10,8,2000,0.25,b,b
9,9,2000,0.25,b,b
8,10,2000,0.25,b,b
7,11,2000,0.25,b,b
6,12,2000,0.25,b,b
5,13,2000,0.25,b,b
4,14,2000,0.25,b,b
3,15,2000,0.25,b,b
2,16,2000,0.25,b,b
1,17,2000,0.25,b,b
0,18,2000,0.25,b,b
18,0,2000,0.5,f,f
17,1,2000,0.5,f,f
16,2,2000,0.5,f,f
15,3,2000,0.5,f,f
14,4,2000,0.5,f,f
13,5,2000,0.5,f,f
12,6,2000,0.5,s,f
11,7,2000,0.5,b,s
10,8,2000,0.5,b,b
9,9,2000,0.5,b,b
8,10,2000,0.5,b,b
7,11,2000,0.5,b,b
6,12,2000,0.5,b,b
5,13,2000,0.5,b,b
4,14,2000,0.5,b,b
3,15,2000,0.5,b,b
2,16,2000,0.5,b,b
1,17,2000,0.5,b,b
0,18,2000,0.5,b,b
18,0,2000,0.75,f,f
17,1,2000,0.75,f,f
16,2,2000,0.75,f,f
15,3,2000,0.75,f,f
14,4,2000,0.75,f,f
13,5,2000,0.75,f,f
12,6,2000,0.75,f,f
11,7,2000,0.75,f,f
10,8,2000,0.75,s,s
9,9,2000,0.75,b,b
8,10,2000,0.75,b,b
7,11,2000,0.75,b,b
6,12,2000,0.75,b,b
5,13,2000,0.75,b,b
4,14,2000,0.75,b,b
3,15,2000,0.75,b,b
2,16,2000,0.75,b,b
1,17,2000,0.75,b,b
0,18,2000,0.75,b,b
18,0,2000,1.0,f,f
17,1,2000,1.0,f,f
16,2,2000,1.0,f,f
15,3,2000,1.0,f,f
14,4,2000,1.0,f,f
13,5,2000,1.0,f,f
12,6,2000,1.0,f,f
11,7,2000,1.0,f,f
10,8,2000,1.0,f,s
9,9,2000,1.0,f,b
8,10,2000,1.0,s,b
7,11,2000,1.0,b,b
6,12,2000,1.0,b,b
5,13,2000,1.0,b,b
4,14,2000,1.0,b,b
3,15,2000,1.0,b,b
2,16,2000,1.0,b,b
1,17,2000,1.0,b,b
0,18,2000,1.0,b,b
18,0,2000,1.25,f,f
17,1,2000,1.25,f,f
16,2,2000,1.25,f,f
15,3,2000,1.25,f,f
14,4,2000,1.25,f,f
13,5,2000,1.25,f,f
12,6,2000,1.25,f,f
11,7,2000,1.25,f,f
10,8,2000,1.25,f,f
9,9,2000,1.25,f,f
8,10,2000,1.25,f,s
7,11,2000,1.25,s,b
6,12,2000,1.25,b,b
5,13,2000,1.25,b,b
4,14,2000,1.25,b,b
3,15,2000,1.25,b,b
2,16,2000,1.25,b,b
1,17,2000,1.25,b,b
0,18,2000,1.25,b,b
18,0,2000,1.5,f,f
17,1,2000,1.5,f,f
16,2,2000,1.5,f,f
15,3,2000,1.5,f,f
14,4,2000,1.5,f,f
13,5,2000,1.5,f,f
12,6,2000,1.5,f,f
11,7,2000,1.5,f,f
10,8,2000,1.5,f,f
9,9,2000,1.5,f,f
8,10,2000,1.5,f,f
7,11,2000,1.5,s,s
6,12,2000,1.5,b,b
5,13,2000,1.5,b,b
4,14,2000,1.5,b,b
3,15,2000,1.5,b,b
2,16,2000,1.5,b,b
1,17,2000,1.5,b,b
0,18,2000,1.5,b,b
18,0,2000,1.75,f,f
17,1,2000,1.75,f,f
16,2,2000,1.75,f,f
15,3,2000,1.75,f,f
14,4,2000,1.75,f,f
13,5,2000,1.75,f,f
12,6,2000,1.75,f,f
11,7,2000,1.75,f,f
10,8,2000,1.75,f,f
9,9,2000,1.75,s,f
8,10,2000,1.75,b,f
7,11,2000,1.75,s,f
6,12,2000,1.75,s,s
5,13,2000,1.75,b,b
4,14,2000,1.75,b,b
3,15,2000,1.75,b,b
2,16,2000,1.75,b,b
1,17,2000,1.75,b,b
0,18,2000,1.75,b,b
18,0,2000,2.0,f,f
17,1,2000,2.0,f,f
16,2,2000,2.0,f,f
15,3,2000,2.0,f,f
14,4,2000,2.0,f,f
13,5,2000,2.0,f,f
12,6,2000,2.0,f,f
11,7,2000,2.0,f,f
10,8,2000,2.0,f,f
9,9,2000,2.0,s,f
8,10,2000,2.0,b,f
7,11,2000,2.0,b,s
6,12,2000,2.0,b,b
5,13,2000,2.0,b,b
4,14,2000,2.0,b,b
3,15,2000,2.0,b,b
2,16,2000,2.0,b,b
1,17,2000,2.0,b,b
0,18,2000,2.0,b,b
18,0,2000,2.25,f,f
17,1,2000,2.25,f,f
16,2,2000,2.25,f,f
15,3,2000,2.25,f,f
14,4,2000,2.25,f,f
13,5,2000,2.25,f,f
12,6,2000,2.25,f,f
11,7,2000,2.25,f,f
10,8,2000,2.25,f,f
9,9,2000,2.25,f,f
8,10,2000,2.25,f,f
7,11,2000,2.25,f,f
6,12,2000,2.25,f,f
5,13,2000,2.25,s,s
4,14,2000,2.25,b,b
3,15,2000,2.25,b,b
