WE1,WF1,WE2,WF2,impressions,demand_factor,direction_200,direction_400
11,0,10,1,2000,0.25,f,f
10,1,9,2,2000,0.25,f,f
9,2,8,3,2000,0.25,f,f
8,3,7,4,2000,0.25,f,f
7,4,6,5,2000,0.25,f,f
6,5,5,6,2000,0.25,b,f
5,6,4,7,2000,0.25,b,b
4,7,3,8,2000,0.25,b,b
3,8,2,9,2000,0.25,b,b
2,9,1,10,2000,0.25,b,b
1,10,0,11,2000,0.25,b,b
11,0,10,1,2000,0.5,f,f
10,1,9,2,2000,0.5,f,f
9,2,8,3,2000,0.5,f,f
8,3,7,4,2000,0.5,f,f
7,4,6,5,2000,0.5,f,f
6,5,5,6,2000,0.5,b,f
5,6,4,7,2000,0.5,b,f
4,7,3,8,2000,0.5,b,b
3,8,2,9,2000,0.5,b,b
2,9,1,10,2000,0.5,b,b
1,10,0,11,2000,0.5,b,b
11,0,10,1,2000,0.75,f,f
10,1,9,2,2000,0.75,f,f
9,2,8,3,2000,0.75,f,f
8,3,7,4,2000,0.75,f,f
7,4,6,5,2000,0.75,f,f
6,5,5,6,2000,0.75,b,f
5,6,4,7,2000,0.75,b,f
4,7,3,8,2000,0.75,b,b
3,8,2,9,2000,0.75,b,b
2,9,1,10,2000,0.75,b,b
1,10,0,11,2000,0.75,b,b
11,0,10,1,2000,1.0,f,f
10,1,9,2,2000,1.0,f,f
9,2,8,3,2000,1.0,f,f
8,3,7,4,2000,1.0,f,f
7,4,6,5,2000,1.0,f,f
6,5,5,6,2000,1.0,f,f
5,6,4,7,2000,1.0,f,f
4,7,3,8,2000,1.0,b,f
3,8,2,9,2000,1.0,b,b
2,9,1,10,2000,1.0,b,b
1,10,0,11,2000,1.0,b,b
11,0,10,1,2000,1.25,f,f
10,1,9,2,2000,1.25,f,f
9,2,8,3,2000,1.25,f,f
8,3,7,4,2000,1.25,f,f
7,4,6,5,2000,1.25,f,f
6,5,5,6,2000,1.25,f,f
5,6,4,7,2000,1.25,f,f
4,7,3,8,2000,1.25,f,b
3,8,2,9,2000,1.25,f,b
2,9,1,10,2000,1.25,b,b
1,10,0,11,2000,1.25,b,b
11,0,10,1,2000,1.5,f,f
10,1,9,2,2000,1.5,f,f
9,2,8,3,2000,1.5,f,f
8,3,7,4,2000,1.5,f,f
7,4,6,5,2000,1.5,f,f
6,5,5,6,2000,1.5,f,f
5,6,4,7,2000,1.5,f,f
4,7,3,8,2000,1.5,f,f
3,8,2,9,2000,1.5,f,f
2,9,1,10,2000,1.5,f,b
1,10,0,11,2000,1.5,b,b
11,0,10,1,2000,1.75,f,f
10,1,9,2,2000,1.75,f,f
9,2,8,3,2000,1.75,f,f
8,3,7,4,2000,1.75,f,f
7,4,6,5,2000,1.75,f,f
6,5,5,6,2000,1.75,f,f
5,6,4,7,2000,1.75,f,f
4,7,3,8,2000,1.75,f,f
3,8,2,9,2000,1.75,b,f
2,9,1,10,2000,1.75,b,b
1,10,0,11,2000,1.75,b,b
11,0,10,1,2000,2.0,f,f
10,1,9,2,2000,2.0,f,f
9,2,8,3,2000,2.0,f,f
8,3,7,4,2000,2.0,f,f
7,4,6,5,2000,2.0,f,f
6,5,5,6,2000,2.0,f,f
5,6,4,7,2000,2.0,f,f
4,7,3,8,2000,2.0,f,f
3,8,2,9,2000,2.0,f,f
2,9,1,10,2000,2.0,f,b
1,10,0,11,2000,2.0,f,b
11,0,10,1,2000,2.25,f,f
10,1,9,2,2000,2.25,f,f
9,2,8,3,2000,2.25,f,f
8,3,7,4,2000,2.25,f,f
7,4,6,5,2000,2.25,f,f
6,5,5,6,2000,2.25,f,f
5,6,4,7,2000,2.25,f,f
4,7,3,8,2000,2.25,f,f
3,8,2,9,2000,2.25,f,f
2,9,1,10,2000,2.25,f,f
1,10,0,11,2000,2.25,f,b
11,0,10,1,2000,2.5,f,f
10,1,9,2,2000,2.5,f,f
9,2,8,3,2000,2.5,f,f
8,3,7,4,2000,2.5,f,f
7,4,6,5,2000,2.5,f,f
6,5,5,6,2000,2.5,f,f
5,6,4,7,2000,2.5,f,f
4,7,3,8,2000,2.5,f,f
3,8,2,9,2000,2.5,f,f
2,9,1,10,2000,2.5,f,f
1,10,0,11,2000,2.5,f,f
11,0,10,1,2000,2.75,f,f
10,1,9,2,2000,2.75,f,f
9,2,8,3,2000,2.75,f,f
8,3,7,4,2000,2.75,f,f
7,4,6,5,2000,2.75,f,f
6,5,5,6,2000,2.75,f,f
5,6,4,7,2000,2.75,f,f
4,7,3,8,2000,2.75,f,f
3,8,2,9,2000,2.75,f,f
2,9,1,10,2000,2.75,f,f
1,10,0,11,2000,2.75,f,f
11,0,10,1,2000,3.0,f,f
10,1,9,2,2000,3.0,f,f
9,2,8,3,2000,3.0,f,f
8,3,7,4,2000,3.0,f,f
7,4,6,5,2000,3.0,f,f
6,5,5,6,2000,3.0,f,f
5,6,4,7,2000,3.0,f,f
4,7,3,8,2000,3.0,f,f
3,8,2,9,2000,3.0,f,f
2,9,1,10,2000,3.0,f,f
1,10,0,11,2000,3.0,f,f
