WE,WF,impressions,demand_factor,direction_200,direction_400
3,0,2000,0.25,f,f
2,1,2000,0.25,s,f
1,2,2000,0.25,b,s
0,3,2000,0.25,b,b
3,0,2000,0.5,f,f
2,1,2000,0.5,f,s
1,2,2000,0.5,s,b
0,3,2000,0.5,b,b
3,0,2000,0.75,f,f
2,1,2000,0.75,s,s
1,2,2000,0.75,s,s
0,3,2000,0.75,s,s
3,0,2000,1.0,f,f
2,1,2000,1.0,s,f
1,2,2000,1.0,s,f
0,3,2000,1.0,s,s
3,0,2000,1.25,f,f
2,1,2000,1.25,f,f
1,2,2000,1.25,f,f
0,3,2000,1.25,s,s
3,0,2000,1.5,f,f
2,1,2000,1.5,f,s
1,2,2000,1.5,f,s
0,3,2000,1.5,s,s
3,0,2000,1.75,f,s
2,1,2000,1.75,f,s
1,2,2000,1.75,s,s
0,3,2000,1.75,b,b
3,0,2000,2.0,s,s
2,1,2000,2.0,b,b
1,2,2000,2.0,s,b
0,3,2000,2.0,s,b
3,0,2000,2.25,s,s
2,1,2000,2.25,s,s
1,2,2000,2.25,f,f
0,3,2000,2.25,s,s
3,0,2000,2.5,s,s
2,1,2000,2.5,b,b
1,2,2000,2.5,s,s
0,3,2000,2.5,s,s
3,0,2000,2.75,s,s
2,1,2000,2.75,s,s
1,2,2000,2.75,f,f
0,3,2000,2.75,s,s
3,0,2000,3.0,s,s
2,1,2000,3.0,b,s
1,2,2000,3.0,s,f
0,3,2000,3.0,s,s
