reserve,impressions,demand_factor,WE,WF,revenue_mean
0,2000,0.25,13,7,3.2610693755183378
15,2000,0.25,0,20,5.3193456375425825
25,2000,0.25,0,20,5.404721862848755
50,2000,0.25,0,20,5.333207378679108
75,2000,0.25,0,20,5.164173910732928
80,2000,0.25,1,19,5.086817125313179
0,2000,0.5,11,9,5.8927984630302905
15,2000,0.5,3,17,10.114963963914663
25,2000,0.5,0,20,10.313261732105794
50,2000,0.5,0,20,10.297398433391471
75,2000,0.5,0,20,10.198051122732368
80,2000,0.5,0,20,10.139991284961877
0,2000,0.75,13,7,9.219133042823533
15,2000,0.75,0,20,14.23637098706728
25,2000,0.75,0,20,14.731991852701075
50,2000,0.75,0,20,15.13088969298268
75,2000,0.75,0,20,15.00610343591886
80,2000,0.75,0,20,14.770931473883135
0,2000,1.0,11,9,11.839398837890856
15,2000,1.0,3,17,18.15007876029121
25,2000,1.0,3,17,19.30690058420716
50,2000,1.0,0,20,20.4059751782011
75,2000,1.0,0,20,19.97929757681933
80,2000,1.0,0,20,19.921179955646046
0,2000,1.25,8,12,13.362406539597268
15,2000,1.25,3,17,20.791127794160897
25,2000,1.25,3,17,23.226823181454037
50,2000,1.25,0,20,24.713522197505863
75,2000,1.25,0,20,25.085974622808852
80,2000,1.25,0,20,24.500075706775046
0,2000,1.5,10,10,16.859223337097447
15,2000,1.5,3,17,23.63453694125069
25,2000,1.5,2,18,27.757809525080162
50,2000,1.5,0,20,29.791314595760497
75,2000,1.5,0,20,30.22623787443621
80,2000,1.5,0,20,29.92438311055432
0,2000,1.75,7,13,17.25742170678205
15,2000,1.75,4,16,26.2860508244636
25,2000,1.75,0,20,30.44494577951848
50,2000,1.75,1,19,34.140535389723865
75,2000,1.75,0,20,34.86270609297036
80,2000,1.75,0,20,34.5096582755971
0,2000,2.0,8,12,19.968504438704414
15,2000,2.0,5,15,28.252291443301285
25,2000,2.0,2,18,32.54383302009431
50,2000,2.0,0,20,38.8688955646683
75,2000,2.0,0,20,39.853179373769116
80,2000,2.0,0,20,38.5368703827477
0,2000,2.25,5,15,20.809722755205254
15,2000,2.25,3,17,29.583470416185165
25,2000,2.25,0,20,35.43648943050768
50,2000,2.25,0,20,43.282061290139325
75,2000,2.25,0,20,44.111844730072725
80,2000,2.25,0,20,43.56624530511146
0,2000,2.5,6,14,23.792527702571878
15,2000,2.5,5,15,33.20481421975355
25,2000,2.5,1,19,37.76316837842833
50,2000,2.5,0,20,46.217696702775896
75,2000,2.5,0,20,48.05496828615394
80,2000,2.5,0,20,49.03363577559643
0,2000,2.75,5,15,25.628359168547927
15,2000,2.75,4,16,34.74678131110087
25,2000,2.75,1,19,39.13422308945878
50,2000,2.75,0,20,49.64391852140675
75,2000,2.75,0,20,52.59330857013958
80,2000,2.75,0,20,53.47644413685711
0,2000,3.0,5,15,27.905041972641488
15,2000,3.0,4,16,37.58651011065145
25,2000,3.0,2,18,42.530474017684114
50,2000,3.0,0,20,53.67461457631546
75,2000,3.0,0,20,57.18879764088722
80,2000,3.0,0,20,57.1028497821845
