WE,WF,impressions,demand_factor,400-800-agreement
10,0,2000,0.25,1.0
9,1,2000,0.25,1.0
8,2,2000,0.25,1.0
7,3,2000,0.25,1.0
6,4,2000,0.25,1.0
5,5,2000,0.25,1.0
4,6,2000,0.25,1.0
3,7,2000,0.25,1.0
2,8,2000,0.25,1.0
1,9,2000,0.25,1.0
0,10,2000,0.25,1.0
10,0,2000,0.5,1.0
9,1,2000,0.5,1.0
8,2,2000,0.5,1.0
7,3,2000,0.5,1.0
6,4,2000,0.5,1.0
5,5,2000,0.5,1.0
4,6,2000,0.5,1.0
3,7,2000,0.5,1.0
2,8,2000,0.5,1.0
1,9,2000,0.5,1.0
0,10,2000,0.5,1.0
10,0,2000,0.75,1.0
9,1,2000,0.75,1.0
8,2,2000,0.75,1.0
7,3,2000,0.75,1.0
6,4,2000,0.75,1.0
5,5,2000,0.75,1.0
4,6,2000,0.75,1.0
3,7,2000,0.75,1.0
2,8,2000,0.75,1.0
1,9,2000,0.75,1.0
0,10,2000,0.75,1.0
10,0,2000,1.0,1.0
9,1,2000,1.0,1.0
8,2,2000,1.0,1.0
7,3,2000,1.0,1.0
6,4,2000,1.0,1.0
5,5,2000,1.0,1.0
4,6,2000,1.0,1.0
3,7,2000,1.0,1.0
2,8,2000,1.0,1.0
1,9,2000,1.0,1.0
0,10,2000,1.0,1.0
10,0,2000,1.25,1.0
9,1,2000,1.25,1.0
8,2,2000,1.25,1.0
7,3,2000,1.25,1.0
6,4,2000,1.25,1.0
5,5,2000,1.25,1.0
4,6,2000,1.25,1.0
3,7,2000,1.25,1.0
2,8,2000,1.25,1.0
1,9,2000,1.25,1.0
0,10,2000,1.25,1.0
10,0,2000,1.5,1.0
9,1,2000,1.5,1.0
8,2,2000,1.5,1.0
7,3,2000,1.5,1.0
6,4,2000,1.5,1.0
5,5,2000,1.5,1.0
4,6,2000,1.5,1.0
3,7,2000,1.5,1.0
2,8,2000,1.5,1.0
1,9,2000,1.5,1.0
0,10,2000,1.5,1.0
10,0,2000,1.75,1.0
9,1,2000,1.75,1.0
8,2,2000,1.75,1.0
7,3,2000,1.75,1.0
6,4,2000,1.75,1.0
5,5,2000,1.75,1.0
4,6,2000,1.75,1.0
3,7,2000,1.75,1.0
2,8,2000,1.75,0.0
1,9,2000,1.75,0.0
0,10,2000,1.75,1.0
10,0,2000,2.0,1.0
9,1,2000,2.0,1.0
8,2,2000,2.0,1.0
7,3,2000,2.0,1.0
6,4,2000,2.0,1.0
5,5,2000,2.0,1.0
4,6,2000,2.0,1.0
3,7,2000,2.0,1.0
2,8,2000,2.0,1.0
1,9,2000,2.0,1.0
0,10,2000,2.0,1.0
10,0,2000,2.25,1.0
9,1,2000,2.25,1.0
8,2,2000,2.25,1.0
7,3,2000,2.25,1.0
6,4,2000,2.25,1.0
5,5,2000,2.25,1.0
4,6,2000,2.25,1.0
3,7,2000,2.25,1.0
2,8,2000,2.25,1.0
1,9,2000,2.25,1.0
0,10,2000,2.25,1.0
10,0,2000,2.5,1.0
9,1,2000,2.5,1.0
8,2,2000,2.5,1.0
7,3,2000,2.5,1.0
6,4,2000,2.5,1.0
5,5,2000,2.5,1.0
4,6,2000,2.5,1.0
3,7,2000,2.5,1.0
2,8,2000,2.5,1.0
1,9,2000,2.5,1.0
0,10,2000,2.5,1.0
10,0,2000,2.75,1.0
9,1,2000,2.75,1.0
8,2,2000,2.75,1.0
7,3,2000,2.75,1.0
6,4,2000,2.75,1.0
5,5,2000,2.75,1.0
4,6,2000,2.75,1.0
3,7,2000,2.75,1.0
2,8,2000,2.75,1.0
1,9,2000,2.75,1.0
0,10,2000,2.75,1.0
10,0,2000,3.0,1.0
9,1,2000,3.0,1.0
8,2,2000,3.0,1.0
7,3,2000,3.0,1.0
6,4,2000,3.0,1.0
5,5,2000,3.0,1.0
4,6,2000,3.0,1.0
3,7,2000,3.0,1.0
2,8,2000,3.0,1.0
1,9,2000,3.0,1.0
0,10,2000,3.0,1.0
