number_of_agents,impressions,demand_factor,WE,WF,sink_index,revenue_mean,revenue_lb,revenue_ub
20,2000,0.25,1,19,0,5.08681712531318,4.98800102861993,5.18563322200643
20,2000,0.5,0,20,1,10.139991284961878,9.935609606469052,10.344372963454704
20,2000,0.75,0,20,2,14.770931473883136,14.471012872661566,15.070850075104707
20,2000,1.0,0,20,3,19.921179955646043,19.518241196025986,20.3241187152661
20,2000,1.25,0,20,4,24.500075706775043,23.99332584937987,25.006825564170217
20,2000,1.5,0,20,5,29.92438311055432,29.311294691283948,30.537471529824693
20,2000,1.75,0,20,6,34.5096582755971,33.80257303020235,35.21674352099184
20,2000,2.0,0,20,7,38.5368703827477,37.730922296862495,39.342818468632906
20,2000,2.25,0,20,8,43.56624530511145,42.66291977074364,44.46957083947926
20,2000,2.5,0,20,9,49.03363577559643,48.01939491471542,50.04787663647744
20,2000,2.75,0,20,10,53.47644413685711,52.36033193326629,54.592556340447935
20,2000,3.0,0,20,11,57.102849782184485,55.851719024451086,58.353980539917885
