number_of_agents,impressions,demand_factor,WE,WF,sink_index,revenue_mean,revenue_lb,revenue_ub
8,2000,0.25,7,1,0,0.20025937500000004,0.1481213008092679,0.2523974491907322
8,2000,0.25,2,6,1,0.18031796706181166,0.12921842763415647,0.23141750648946685
8,2000,0.5,8,0,2,0.23249532127261405,0.08975171153781752,0.37523893100741057
8,2000,0.5,5,3,3,0.41281874999999985,0.3078913691188782,0.5177461308811215
8,2000,0.5,0,8,4,0.43126874999999987,0.32142734776663323,0.5411101522333666
8,2000,0.75,8,0,5,0.5475421874999998,0.4053070058035485,0.6897773691964512
8,2000,0.75,6,2,6,0.8340937500000014,0.4568554480386935,1.2113320519613093
8,2000,0.75,0,8,7,0.3568921874999998,0.2458431814697521,0.4679411935302475
8,2000,1.0,7,1,8,0.8010375,0.5915540253952756,1.0105209746047243
8,2000,1.0,5,3,9,0.6238630287876512,0.43984138076394075,0.8078846768113617
8,2000,1.0,3,5,10,0.7153218750000001,0.515209005917995,0.9154347440820052
8,2000,1.0,0,8,11,0.4220437500000007,0.15768193746481146,0.6864055625351899
8,2000,1.25,7,1,12,1.1653216287253607,0.5987326636703568,1.7319105937803645
8,2000,1.25,0,8,13,0.9125062500000013,0.43663095985574685,1.3883815401442559
8,2000,1.5,8,0,14,1.001793367058171,0.44869746531573973,1.554889268800602
8,2000,1.5,3,5,15,0.9574781249999995,0.6826436684673239,1.2323125815326752
8,2000,1.75,6,2,16,1.1538937499999986,0.6854478664301904,1.6223396335698068
8,2000,1.75,4,4,17,1.7458312499999997,0.9220460549227182,2.569616445077281
8,2000,1.75,1,7,18,1.0274343749999988,0.5792493865545664,1.475619363445431
8,2000,2.0,8,0,19,1.7765812499999987,0.8789874537255665,2.674175046274431
8,2000,2.0,6,2,20,1.4502468749999986,0.9080790867907048,1.9924146632092925
8,2000,2.0,2,6,21,1.7775421874999973,1.3310468747843924,2.2240375002156023
8,2000,2.0,0,8,22,0.837937500000001,0.32820628471031,1.347668715289692
8,2000,2.25,5,3,23,1.4994503681619764,0.6471278735740317,2.3517728627499213
8,2000,2.25,1,7,24,1.6858687499999976,1.2334865516092255,2.1382509483907697
8,2000,2.5,8,0,25,1.7212312499999987,1.2538111519434973,2.1886513480564997
8,2000,2.5,6,2,26,2.0471812500000017,0.9546709351340232,3.1396915648659802
8,2000,2.5,2,6,27,1.689135937499999,1.2220433576299217,2.156228517370076
8,2000,2.75,3,5,28,1.8590296874999992,1.349603959547124,2.3684554154528743
8,2000,3.0,5,3,29,2.1817124999999984,1.5980190274176478,2.765405972582349
8,2000,3.0,2,6,30,1.8932390624999993,1.3476308700635697,2.438847254936429
