number_of_agents,impressions,demand_factor,WE,WF,sink_index,revenue_mean,revenue_lb,revenue_ub
8,2000,0.25,0,8,0,12.523870616131385,12.121789333795942,12.925951898466828
8,2000,0.5,0,8,1,24.960084179279903,24.16295650653456,25.757211852025247
8,2000,0.75,0,8,2,35.77940829308055,34.925259015299204,36.633557570861896
8,2000,1.0,0,8,3,46.82875059713551,45.24064245323242,48.4168587410386
8,2000,1.25,0,8,4,56.41156885950239,54.47169550810388,58.3514422109009
8,2000,1.5,0,8,5,62.513408472385834,60.24020364799566,64.78661329677601
8,2000,1.75,0,8,6,65.72153297172935,63.244181152686856,68.19888479077183
8,2000,2.0,0,8,7,74.79046638252572,71.9928217628347,77.58811100221675
8,2000,2.25,0,8,8,75.8833888259804,72.97232102321313,78.79445662874768
8,2000,2.5,0,8,9,81.44548187091763,78.19448591748264,84.69647782435263
8,2000,2.75,0,8,10,82.83485933155629,79.31158575671382,86.35813290639875
8,2000,3.0,0,8,11,86.01010905322954,82.36968583750775,89.65053226895134
