number_of_agents,impressions,demand_factor,WE,WF,sink_index,revenue_mean,revenue_lb,revenue_ub
8,2000,0.25,0,8,0,13.217724451376526,12.81372519625346,13.621723706499592
8,2000,0.5,0,8,1,25.80718063145568,25.029221926307613,26.585139336603746
8,2000,0.75,0,8,2,36.65016394019818,35.47177027747062,37.82855760292575
8,2000,1.0,0,8,3,49.27923155893064,47.7248423029902,50.83362081487108
8,2000,1.25,0,8,4,61.599138803629415,59.63726363449012,63.56101397276871
8,2000,1.5,0,8,5,73.33994843335492,71.04573480446105,75.63416206224879
8,2000,1.75,0,8,6,83.95301714685567,81.24628189612753,86.65975239758382
8,2000,2.0,0,8,7,93.48471155149983,90.38034323947923,96.58907986352042
8,2000,2.25,0,8,8,102.35138185554383,98.89090816642825,105.81185554465942
8,2000,2.5,0,8,9,112.7729419166657,108.7869734136886,116.7589104196428
8,2000,2.75,0,8,10,115.32402615633112,111.05051355099292,119.59753876166931
8,2000,3.0,0,8,11,122.62998400281431,117.90199722308182,127.3579707825468
