number_of_agents,impressions,demand_factor,WE,WF,sink_index,revenue_mean,revenue_lb,revenue_ub
8,2000,0.25,8,0,0,1.0740967176596892,0.8513371889076947,1.2968562464116835
8,2000,0.25,6,2,1,0.9369105350922748,0.7893288889888328,1.0844921811957169
8,2000,0.25,2,6,2,1.0285715873890926,0.8740154406106198,1.1831277341675654
8,2000,0.25,0,8,3,1.0263749999999998,0.9144722847297942,1.1382777152702055
8,2000,0.5,3,5,4,2.0351406249999986,1.7272421473446626,2.3430391026553345
8,2000,0.5,0,8,5,2.042507812499999,1.8226062175988036,2.262409407401194
8,2000,0.75,6,2,6,3.222304695896662,2.884090063797874,3.5605193279954497
8,2000,0.75,2,6,7,3.284836547565707,2.9407654435061623,3.6289076516252514
8,2000,0.75,0,8,8,2.9842500000000007,2.6522340103931805,3.316265989606821
8,2000,1.0,6,2,9,3.8244513223152565,3.4017912306525986,4.2471114139779145
8,2000,1.0,4,4,10,4.07641196331143,3.4457079157736317,4.707116010849228
8,2000,1.0,0,8,11,4.445828125000003,3.9857304473040336,4.905925802695973
8,2000,1.25,7,1,12,6.236434385520787,5.378792192350104,7.09407657869147
8,2000,1.25,4,4,13,5.389294091758248,4.571429407687637,6.207158775828859
8,2000,1.25,2,6,14,5.780187500000011,4.551375304208893,7.008999695791129
8,2000,1.25,0,8,15,4.893250000000005,4.353993002512529,5.432506997487482
8,2000,1.5,5,3,16,6.247565953071505,5.292373455819401,7.202758450323609
8,2000,1.5,2,6,17,5.636994700241956,4.991165468308603,6.282823932175308
8,2000,1.75,2,6,18,6.0275479281856885,5.0516026873228315,7.003493169048546
8,2000,1.75,0,8,19,7.626085735377203,6.814435798705498,8.437735672048909
8,2000,2.0,1,7,20,7.599703125000016,6.384280546048761,8.815125703951272
8,2000,2.25,4,4,21,9.258684858685097,8.236599771687171,10.280769945683023
8,2000,2.25,0,8,22,9.261453125000017,8.255840221895761,10.267066028104272
8,2000,2.5,2,6,23,9.942305295950177,7.795851571418738,12.088759020481618
8,2000,2.75,7,1,24,9.25845710812071,7.068813868816617,11.448100347424804
8,2000,2.75,0,8,25,9.605015625000007,8.05677748809072,11.153253761909294
8,2000,3.0,3,5,26,11.938796875000001,10.043657835534056,13.833935914465947
8,2000,3.0,0,8,27,11.887046875000003,10.042920868366183,13.731172881633823
