number_of_agents,impressions,demand_factor,WE,WF,sink_index,revenue_mean,revenue_lb,revenue_ub
8,2000,0.25,2,6,0,12.378503470001995,12.180355391322514,12.576651548681475
8,2000,0.25,0,8,1,12.711458285430556,12.307947133386758,13.114969437474354
8,2000,0.5,1,7,2,21.473362239397893,21.075489341680296,21.87123513711549
8,2000,0.75,2,6,3,27.688722061091436,27.141326066911574,28.236118055271298
8,2000,1.0,2,6,4,31.63474053714975,30.996774141753463,32.272706932546036
8,2000,1.25,2,6,5,36.21770885056222,35.44657564118356,36.98884205994088
8,2000,1.5,1,7,6,36.658577442940846,35.84046655706733,37.47668832881436
8,2000,1.75,0,8,7,35.95338649905408,35.115146942399676,36.79162605570849
8,2000,2.0,0,8,8,37.798839587798355,35.912685345897835,39.684993829698875
8,2000,2.25,0,8,9,41.14745189507103,38.932753337196694,43.362150452945365
8,2000,2.5,0,8,10,41.91051489324678,39.599396338165654,44.2216334483279
8,2000,2.75,0,8,11,39.57701581900118,37.45760547584732,41.69642616215504
8,2000,3.0,0,8,12,42.73646396457482,40.27258205208329,45.20034587706635
