number_of_agents,impressions,demand_factor,WE,WF,sink_index,revenue_mean,revenue_lb,revenue_ub
8,2000,0.25,4,4,0,8.42262077141404,8.186702217408325,8.658539325419756
8,2000,0.5,4,4,1,12.243469870228468,11.948845975495482,12.538093764961454
8,2000,0.75,2,6,2,11.688332033546967,10.993829726523794,12.38283434057014
8,2000,1.0,1,7,3,11.725943804367962,11.328474406953097,12.123413201782826
8,2000,1.25,3,5,4,21.688903271733043,20.254048969834564,23.123757573631522
8,2000,1.5,1,7,5,15.291175555970558,13.998693188337178,16.583657923603937
8,2000,1.75,0,8,6,13.410487260635493,12.114239813654114,14.706734707616873
8,2000,2.0,0,8,7,16.92567518648199,15.242134094261019,18.60921627870296
8,2000,2.25,0,8,8,15.37953974858303,13.767693010404482,16.991386486761577
8,2000,2.5,0,8,9,21.13434341538609,18.87012808361001,23.398558747162173
8,2000,2.75,0,8,10,20.353020532702054,18.089720533890368,22.61632053151374
8,2000,3.0,0,8,11,19.898204102729604,17.644779468666435,22.151628736792773
