number_of_agents,impressions,demand_factor,WE,WF,sink_index,revenue_mean,revenue_lb,revenue_ub
8,2000,0.25,8,0,0,0.5130157949325002,0.4317465101358046,0.5942850797291958
8,2000,0.25,3,5,1,0.48380937500000004,0.37165140019064513,0.595967349809355
8,2000,0.25,0,8,2,0.3941875000000003,0.25321408054519334,0.5351609194548073
8,2000,0.5,7,1,3,1.1008541759795663,0.8613136338393468,1.3403947181197857
8,2000,0.5,2,6,4,0.9884437499999996,0.8267195384386987,1.1501679615613005
8,2000,0.75,4,4,5,1.345443749999999,1.1157751136648064,1.5751123863351915
8,2000,0.75,0,8,6,1.3997374999999987,1.0624489794450598,1.7370260205549377
8,2000,1.0,4,4,7,2.2758749999999988,1.5727792945076235,2.978970705492374
8,2000,1.0,2,6,8,1.454774999999999,0.9141093785057612,1.9954406214942368
8,2000,1.25,6,2,9,2.227903124999998,1.7095367991711976,2.746269450828798
8,2000,1.25,2,6,10,1.978400079604244,1.6342184132484858,2.322581745960002
8,2000,1.25,0,8,11,2.4625562499999973,1.8867003265918694,3.0384121734081253
8,2000,1.5,6,2,12,2.9564062499999966,2.267370062705777,3.645442437294216
8,2000,1.5,3,5,13,2.6700624999999967,2.0319562962809132,3.30816870371908
8,2000,1.5,0,8,14,2.338349999999998,1.4967974303938922,3.179902569606104
8,2000,1.75,5,3,15,3.0862489164081808,2.569634594651473,3.6028632381648884
8,2000,1.75,0,8,16,2.8206718749999964,2.1244952184112296,3.516848531588763
8,2000,2.0,5,3,17,3.9397260873980837,3.3249759485850165,4.5544762262111504
8,2000,2.0,2,6,18,4.194006249999996,2.869930921533828,5.518081578466163
8,2000,2.0,0,8,19,3.7953562499999953,2.9158030637946273,4.674909436205363
8,2000,2.25,2,6,20,3.758540624999995,2.8247847310988066,4.692296518901183
8,2000,2.25,0,8,21,3.852624999999995,3.200662111784916,4.504587888215074
8,2000,2.5,0,8,22,5.672581249999994,3.919451378313916,7.4257111216860725
8,2000,2.75,3,5,23,4.9360828124999925,4.119981295599547,5.752184329400438
8,2000,2.75,0,8,24,3.7566812499999958,2.398551808984939,5.114810691015053
8,2000,3.0,6,2,25,6.0414812499999915,4.617441389517162,7.465521110482821
8,2000,3.0,4,4,26,4.752380263358683,3.920388503632906,5.58437202308446
8,2000,3.0,2,6,27,5.287318749999993,4.385486132921384,6.189151367078601
8,2000,3.0,0,8,28,5.106215624999993,4.234095703239472,5.978335546760514
