number_of_agents,impressions,demand_factor,WE,WF,sink_index,revenue_mean,revenue_lb,revenue_ub
8,2000,0.25,0,8,0,12.437565274359088,12.026782293991559,12.848348254726616
8,2000,0.5,0,8,1,23.191454987988454,22.37621691064336,24.006693065333547
8,2000,0.75,0,8,2,37.080118052083414,35.8451170567816,38.315119047385224
8,2000,1.0,0,8,3,47.71708707717165,46.06794711944961,49.36622703489368
8,2000,1.25,0,8,4,61.46560712212433,59.39381871236442,63.53739553188424
8,2000,1.5,0,8,5,71.59235646614302,69.11174468299299,74.07296824929304
8,2000,1.75,0,8,6,81.2374052665751,79.23772006802734,83.23709046512285
8,2000,2.0,0,8,7,94.63338237632681,91.3739068777226,97.89285787493101
8,2000,2.25,0,8,8,104.88459017327004,101.17010373107749,108.5990766154626
8,2000,2.5,0,8,9,114.11994487071411,109.95774832436494,118.28214141706327
8,2000,2.75,0,8,10,120.69588258825024,116.0302457523806,125.36151942411989
8,2000,3.0,0,8,11,126.34967511182315,121.31516972686096,131.38418049678532
