number_of_agents,impressions,demand_factor,WE,WF,sink_index,revenue_mean,revenue_lb,revenue_ub
8,2000,0.25,0,8,0,12.333214568448131,11.945030503960655,12.721398632935607
8,2000,0.5,0,8,1,22.58229099706133,22.018451394589263,23.1461305995334
8,2000,0.75,3,5,2,29.380792781356543,28.80289308578107,29.95869247693202
8,2000,1.0,1,7,3,32.6377496107945,31.709084113003556,33.566415108585446
8,2000,1.25,4,4,4,42.64570087189973,41.463476787088176,43.82792495671128
8,2000,1.25,2,6,5,39.514679040938546,38.70664097131886,40.32271711055823
8,2000,1.5,1,7,6,39.624649176596876,37.86064526732038,41.38865308587337
8,2000,1.75,0,8,7,38.33415645589747,36.61180882988436,40.05650408191058
8,2000,2.0,0,8,8,41.51807521467321,39.62413495571249,43.41201547363393
8,2000,2.25,0,8,9,43.81093351130634,41.61217621072966,46.00969081188302
8,2000,2.5,0,8,10,44.72424642379505,42.436663538091814,47.01182930949829
8,2000,2.75,0,8,11,45.951894549442294,43.49550614343746,48.40828295544713
8,2000,3.0,0,8,12,45.45141790679775,43.008671038402866,47.894164775192635
