number_of_agents,impressions,demand_factor,WE,WF,sink_index,revenue_mean,revenue_lb,revenue_ub
8,2000,0.25,0,8,0,12.949504103940107,12.561465798519368,13.337542409360847
8,2000,0.5,0,8,1,24.78840743529702,24.23753806255093,25.339276808043113
8,2000,0.75,0,8,2,37.38758757204015,36.554652331949306,38.22052281213099
8,2000,1.0,0,8,3,48.73231508820847,47.153871094523,50.31075908189395
8,2000,1.25,0,8,4,60.346952226276734,58.416355249341514,62.277549203211954
8,2000,1.5,0,8,5,70.73507558041149,68.4460195474442,73.02413161337878
8,2000,1.75,0,8,6,80.69582792222583,77.98241493532865,83.40924090912301
8,2000,2.0,0,8,7,89.10306940458857,86.0820360027879,92.12410280638923
8,2000,2.25,0,8,8,94.9457980073854,91.51505549557183,98.37654051919898
8,2000,2.5,0,8,9,103.11112547233708,99.32963826725411,106.89261267742005
8,2000,2.75,0,8,10,110.52177217900157,106.37386988368306,114.66967447432009
8,2000,3.0,0,8,11,111.96024459033733,107.64384978684559,116.27663939382906
