number_of_agents,impressions,demand_factor,WE,WF,sink_index,revenue_mean,revenue_lb,revenue_ub
8,2000,0.25,0,8,0,8.68189786387091,8.226317016760873,9.137478710980947
8,2000,0.5,0,8,1,17.00045203849671,16.119717521988054,17.881186555005367
8,2000,0.75,0,8,2,26.04186910542985,24.696265249100954,27.387472961758746
8,2000,1.0,0,8,3,36.10554510974035,34.28979413058243,37.921296088898266
8,2000,1.25,0,8,4,42.538971395033606,40.30367576443843,44.77426702562878
8,2000,1.5,0,8,5,53.56318767526085,50.86296703245607,56.26340831806563
8,2000,1.75,0,8,6,60.267027593557316,57.03769214541592,63.496363041698714
8,2000,2.0,0,8,7,66.51066597955149,63.044909372951054,69.97642258615193
8,2000,2.25,0,8,8,74.56570647316492,70.51872505107653,78.61268789525332
8,2000,2.5,0,8,9,81.93851567940116,77.53300903475277,86.34402232404956
8,2000,2.75,0,8,10,91.80179899264034,86.94765144014498,96.6559465451357
8,2000,3.0,0,8,11,97.24734105608474,91.94505550948959,102.54962660267988
