number_of_agents,impressions,demand_factor,WE,WF,sink_index,revenue_mean,revenue_lb,revenue_ub
8,2000,0.25,1,7,0,12.517752421531549,12.321818493336627,12.713686349726471
8,2000,0.5,0,8,1,22.404106966253124,21.608222008034346,23.199991924471902
8,2000,0.75,2,6,2,28.393226402481996,27.606570882880053,29.17988192208394
8,2000,1.0,2,6,3,32.90492292110521,32.250469227283496,33.559376614926926
8,2000,1.25,1,7,4,36.015265857009624,35.247442105755255,36.78308960826399
8,2000,1.5,2,6,5,41.10445503797533,40.204435685143714,42.00447439080694
8,2000,1.5,0,8,6,35.72390000615418,34.1424943556587,37.305305656649665
8,2000,1.75,1,7,7,39.562111991298764,38.657453459247684,40.466770523349844
8,2000,2.0,0,8,8,39.59139115332752,37.6514207165778,41.53136159007724
8,2000,2.25,0,8,9,42.13579866201749,39.98053431201609,44.291063012018896
8,2000,2.5,0,8,10,45.25692279780864,42.80880938930371,47.70503620631357
8,2000,2.75,0,8,11,43.23166475303496,40.88933940652136,45.57399009954857
8,2000,3.0,0,8,12,44.16895715162147,41.60628437409274,46.7316299291502
