number_of_agents,impressions,demand_factor,WE,WF,sink_index,revenue_mean,revenue_lb,revenue_ub
8,2000,0.25,0,8,0,12.938052117982402,12.548824376651053,13.32727985931375
8,2000,0.5,0,8,1,25.29243348315267,24.52053947533124,26.0643274909741
8,2000,0.75,0,8,2,36.658366293240945,35.81988856100328,37.49684402547861
8,2000,1.0,0,8,3,46.958326414131335,45.401899023585884,48.514753804676786
8,2000,1.25,0,8,4,59.704107612277355,57.76531002132512,61.64290520322959
8,2000,1.5,0,8,5,69.26382235981359,66.9051019133492,71.62254280627798
8,2000,1.75,0,8,6,74.89424538911614,72.23045575049882,77.55803502773345
8,2000,2.0,0,8,7,81.94043783700155,80.44942732742933,83.43144834657377
8,2000,2.25,0,8,8,88.11579560047427,86.50800728550905,89.72358391543949
8,2000,2.5,0,8,9,90.69378204891187,87.20086973966075,94.186694358163
8,2000,2.75,0,8,10,95.06986038196393,91.3130156154578,98.82670514847007
8,2000,3.0,0,8,11,99.37358472145132,95.47402063196714,103.27314881093551
