number_of_agents,impressions,demand_factor,WE,WF,sink_index,revenue_mean,revenue_lb,revenue_ub
8,2000,0.25,0,8,0,12.64013619982928,12.235191725460975,13.045080674197585
8,2000,0.5,1,7,1,23.366103883796583,22.57318817899769,24.159019588595477
8,2000,0.75,2,6,2,30.42430704026055,29.839436000416313,31.00917808010479
8,2000,1.0,1,7,3,35.13303044789467,33.76690214110391,36.499158754685425
8,2000,1.25,1,7,4,40.22511153176868,38.58671965481189,41.86350340872548
8,2000,1.5,2,6,5,44.47073841046229,43.14954097267938,45.791935848245195
8,2000,1.75,0,8,6,42.267453932223525,40.3909473234104,44.14396054103665
8,2000,2.0,0,8,7,45.86410710681071,43.73246642523082,47.995747788390595
8,2000,2.25,0,8,8,46.8790079992354,44.62409509467288,49.133920903797915
8,2000,2.5,0,8,9,48.514075888676494,46.17350562089534,50.85464615645765
8,2000,2.75,0,8,10,49.05816872765902,46.49882873577289,51.61750871954516
8,2000,3.0,0,8,11,50.237372657422554,47.56135989341297,52.91338542143214
