number_of_agents,impressions,demand_factor,WE,WF,sink_index,revenue_mean,revenue_lb,revenue_ub
8,2000,0.25,0,8,0,11.306110071739397,10.899787258118412,11.712432885360382
8,2000,0.5,3,5,1,18.239738449274096,17.733453533527335,18.746023365020857
8,2000,0.75,4,4,2,22.839409958429396,21.8844893868979,23.79433052996089
8,2000,1.0,1,7,3,22.28668989041362,21.769225105317265,22.804154675509974
8,2000,1.25,1,7,4,25.162856709836753,23.88616784388939,26.439545575784116
8,2000,1.5,1,7,5,26.949977544206348,25.93290493557439,27.967050152838308
8,2000,1.75,0,8,6,25.125541296121074,24.107273431940165,26.143809160301984
8,2000,2.0,0,8,7,27.365521944034754,25.623126464830463,29.107917423239044
8,2000,2.25,0,8,8,27.413507387080234,25.623869648524686,29.203145125635782
8,2000,2.5,0,8,9,31.289852604626265,29.127320445051943,33.45238476420059
8,2000,2.75,0,8,10,30.530435709589266,28.33271795327568,32.72815346590286
8,2000,3.0,0,8,11,31.718039356224278,29.42870569911238,34.00737301333618
