number_of_agents,impressions,demand_factor,WE,WF,sink_index,revenue_mean,revenue_lb,revenue_ub
8,2000,0.25,0,8,0,12.50307023085715,12.125746505428202,12.880393956286097
8,2000,0.5,0,8,1,25.325557450991813,24.535923715920426,26.1151911860632
8,2000,0.75,0,8,2,37.59205630361154,36.77170329635422,38.41240931086887
8,2000,1.0,0,8,3,49.9791900856727,48.4196526723826,51.5387274989628
8,2000,1.25,0,8,4,60.527818117536896,58.5774238734052,62.47821236166859
8,2000,1.5,0,8,5,68.54083292285708,66.23401900811893,70.84764683759522
8,2000,1.75,0,8,6,76.63923662378043,74.74953500590266,78.52893824165821
8,2000,2.0,0,8,7,84.74323251700442,82.57327668394417,86.91318835006466
8,2000,2.25,0,8,8,90.8844901511608,87.59939040225338,94.16958990006823
8,2000,2.5,0,8,9,98.99013625693595,95.29999911567124,102.68027339820067
8,2000,2.75,0,8,10,99.55903826195375,95.68993078010558,103.4281457438019
8,2000,3.0,0,8,11,103.00345703671137,98.97299841484083,107.0339156585819
