number_of_agents,impressions,demand_factor,WE,WF,sink_index,revenue_mean,revenue_lb,revenue_ub
8,2000,0.25,0,8,0,2.3047409862422827,1.9948668905009668,2.6146150819835987
8,2000,0.5,1,7,1,5.151108402385819,4.683320698181792,5.618896106589846
8,2000,0.75,5,3,2,7.1039935335081426,6.153548641693521,8.054438425322763
8,2000,0.75,0,8,3,6.641841468475078,6.173637696598456,7.1100452403517
8,2000,1.0,6,2,4,8.951123415314411,8.081659541914737,9.820587288714085
8,2000,1.0,1,7,5,9.00028698513736,8.137622700921545,9.862951269353173
8,2000,1.25,3,5,6,10.500476949132581,9.043957213564997,11.956996684700165
8,2000,1.25,0,8,7,11.747495630945682,10.95164439268264,12.543346869208724
8,2000,1.5,1,7,8,13.256567630461857,11.96036251547617,14.552772745447545
8,2000,1.75,0,8,9,14.883515624999971,13.840972731618121,15.92605851838182
8,2000,2.0,0,8,10,17.955664732335773,15.412910853226832,20.498418611444716
8,2000,2.25,0,8,11,21.25979779982046,19.8282514217569,22.691344177884023
8,2000,2.5,3,5,12,23.66256514243777,20.419822602048512,26.90530768282703
8,2000,2.5,0,8,13,22.579046633258578,19.453486835682153,25.704606430835003
8,2000,2.75,8,0,14,22.196195424597747,19.881710668313104,24.51068018088239
8,2000,2.75,6,2,15,24.297990239330314,22.59658398812506,25.999396490535567
8,2000,2.75,1,7,16,23.444958285450767,21.106647463780654,25.78326910712088
8,2000,3.0,6,2,17,25.782563631005424,22.139820327348357,29.42530693466249
8,2000,3.0,1,7,18,27.75548046347455,25.85125824683545,29.659702680113654
