number_of_agents,impressions,demand_factor,WE,WF,sink_index,revenue_mean,revenue_lb,revenue_ub
8,2000,0.25,2,6,0,10.778280179645957,10.49897890873682,11.057581450555094
8,2000,0.5,4,4,1,16.44697138046441,15.978728220132684,16.91521454079614
8,2000,0.75,4,4,2,19.67457978882026,18.754074649651624,20.595084927988896
8,2000,1.0,2,6,3,18.515036523963907,17.54795859325333,19.482114454674484
8,2000,1.25,2,6,4,23.6662021119067,22.354336087292637,24.97806813652076
8,2000,1.5,0,8,5,19.57805319035279,18.917650824569773,20.238455556135808
8,2000,1.75,0,8,6,20.047498181212905,19.037483157083688,21.057513205342122
8,2000,2.0,0,8,7,22.18547001995239,20.48358712376457,23.887352916140212
8,2000,2.25,0,8,8,23.589099297277468,21.60512545635729,25.573073138197646
8,2000,2.5,0,8,9,24.34367180184865,22.226013513385148,26.461330090312153
8,2000,2.75,0,8,10,25.36427496406477,23.208201083020956,27.520348845108582
8,2000,3.0,0,8,11,26.260600100351017,23.924086101655142,28.59711409904689
