number_of_agents,impressions,demand_factor,WE,WF,sink_index,revenue_mean,revenue_lb,revenue_ub
8,2000,0.25,0,8,0,11.479326304227042,11.042013691025591,11.916638917428493
8,2000,0.5,0,8,1,21.562500727875157,20.716774029575436,22.40822742617488
8,2000,0.75,0,8,2,32.74428204546389,31.83408419424624,33.65447989668154
8,2000,1.0,0,8,3,42.20007174476319,40.454078086970554,43.94606540255583
8,2000,1.25,0,8,4,55.35455282095758,53.207423619804246,57.50168202211091
8,2000,1.5,0,8,5,64.06401833848342,61.57268903786229,66.55534763910455
8,2000,1.75,0,8,6,76.64652578434628,73.65351755706303,79.63953401162954
8,2000,2.0,0,8,7,88.6736550774016,85.16062783200238,92.18668232280083
8,2000,2.25,0,8,8,96.0800783729447,93.39190657153243,98.76825017435696
8,2000,2.5,0,8,9,106.057885778073,101.8085949875589,110.3071765685871
8,2000,2.75,0,8,10,113.05709452323443,108.34824628482804,117.76594276164082
8,2000,3.0,0,8,11,120.30197613107497,116.62259292746518,123.98135933468475
