number_of_agents,impressions,demand_factor,WE,WF,sink_index,revenue_mean,revenue_lb,revenue_ub
8,2000,0.25,5,3,0,6.6545983919905485,6.504900901797216,6.804295882183881
8,2000,0.5,4,4,1,9.252997011903563,8.68466379611022,9.821330227696906
8,2000,0.75,2,6,2,8.870177483229986,8.510041725750126,9.230313240709846
8,2000,1.0,2,6,3,10.632059619636273,9.962806501117074,11.301312738155472
8,2000,1.25,1,7,4,11.211866604541848,10.401975902601203,12.021757306482494
8,2000,1.5,1,7,5,12.656855441921634,11.970713133247171,13.342997750596096
8,2000,1.75,0,8,6,10.592090990972393,9.615208612058296,11.56897336988649
8,2000,2.0,0,8,7,13.629668712005046,11.872249929162168,15.387087494847924
8,2000,2.25,0,8,8,14.379130329390755,12.456087580773811,16.302173078007698
8,2000,2.5,0,8,9,15.352215663520239,13.233820647329365,17.47061067971111
8,2000,2.75,0,8,10,15.420510349698644,13.279742020217622,17.561278679179665
8,2000,3.0,0,8,11,17.79985635213087,15.313678861446796,20.286033842814945
