number_of_agents,impressions,demand_factor,WE,WF,sink_index,revenue_mean,revenue_lb,revenue_ub
8,2000,0.25,0,8,0,5.231581668639019,5.024941817948263,5.438221519329775
8,2000,0.5,0,8,1,10.407825894649664,9.822526937744028,10.993124851555299
8,2000,0.75,0,8,2,14.646218410028746,13.454904163432275,15.837532656625218
8,2000,1.0,0,8,3,20.8442014783762,19.190971454627455,22.497431502124943
8,2000,1.25,0,8,4,25.509502418294083,23.454546523712864,27.564458312875303
8,2000,1.5,0,8,5,30.425136411340794,29.1962762365896,31.65399658609199
8,2000,1.75,0,8,6,40.22562724530211,37.13449939355422,43.31675509704999
8,2000,2.0,0,8,7,43.15235246641483,39.67150501005707,46.6331999227726
8,2000,2.25,0,8,8,46.57782177347539,44.70108713650354,48.454556410447246
8,2000,2.5,0,8,9,56.04497497593014,51.643473446331384,60.44647650552889
8,2000,2.75,0,8,10,51.014602111984736,46.6969234765357,55.33228074743377
8,2000,3.0,2,6,11,62.478620066606055,57.39675307399289,67.56048705921921
8,2000,3.0,0,8,12,61.586452832577855,58.036550989167544,65.13635467598817
