WE1,WF1,WE2,WF2,impressions,demand_factor,direction_400,direction_800
14,0,13,1,2000,0.25,f,f
13,1,12,2,2000,0.25,f,f
12,2,11,3,2000,0.25,f,f
11,3,10,4,2000,0.25,f,f
10,4,9,5,2000,0.25,f,f
9,5,8,6,2000,0.25,f,f
8,6,7,7,2000,0.25,b,b
7,7,6,8,2000,0.25,b,b
6,8,5,9,2000,0.25,b,b
5,9,4,10,2000,0.25,b,b
4,10,3,11,2000,0.25,b,b
3,11,2,12,2000,0.25,b,b
2,12,1,13,2000,0.25,b,b
1,13,0,14,2000,0.25,b,b
14,0,13,1,2000,0.5,f,f
13,1,12,2,2000,0.5,f,f
12,2,11,3,2000,0.5,f,f
11,3,10,4,2000,0.5,f,f
10,4,9,5,2000,0.5,f,f
9,5,8,6,2000,0.5,f,f
8,6,7,7,2000,0.5,b,f
7,7,6,8,2000,0.5,b,b
6,8,5,9,2000,0.5,b,b
5,9,4,10,2000,0.5,b,b
4,10,3,11,2000,0.5,b,b
3,11,2,12,2000,0.5,b,b
2,12,1,13,2000,0.5,b,b
1,13,0,14,2000,0.5,b,b
14,0,13,1,2000,0.75,f,f
13,1,12,2,2000,0.75,f,f
12,2,11,3,2000,0.75,f,f
11,3,10,4,2000,0.75,f,f
10,4,9,5,2000,0.75,f,f
9,5,8,6,2000,0.75,f,f
8,6,7,7,2000,0.75,f,f
7,7,6,8,2000,0.75,f,f
6,8,5,9,2000,0.75,b,b
5,9,4,10,2000,0.75,b,b
4,10,3,11,2000,0.75,b,b
3,11,2,12,2000,0.75,b,b
2,12,1,13,2000,0.75,b,b
1,13,0,14,2000,0.75,b,b
14,0,13,1,2000,1.0,f,f
13,1,12,2,2000,1.0,f,f
12,2,11,3,2000,1.0,f,f
11,3,10,4,2000,1.0,f,f
10,4,9,5,2000,1.0,f,f
9,5,8,6,2000,1.0,f,f
8,6,7,7,2000,1.0,f,f
7,7,6,8,2000,1.0,f,f
6,8,5,9,2000,1.0,b,b
5,9,4,10,2000,1.0,b,b
4,10,3,11,2000,1.0,b,b
3,11,2,12,2000,1.0,b,b
2,12,1,13,2000,1.0,b,b
1,13,0,14,2000,1.0,b,b
14,0,13,1,2000,1.25,f,f
13,1,12,2,2000,1.25,f,f
12,2,11,3,2000,1.25,f,f
11,3,10,4,2000,1.25,f,f
10,4,9,5,2000,1.25,f,f
9,5,8,6,2000,1.25,f,f
8,6,7,7,2000,1.25,f,f
7,7,6,8,2000,1.25,f,f
6,8,5,9,2000,1.25,f,f
5,9,4,10,2000,1.25,b,b
4,10,3,11,2000,1.25,b,b
3,11,2,12,2000,1.25,b,b
2,12,1,13,2000,1.25,b,b
1,13,0,14,2000,1.25,b,b
14,0,13,1,2000,1.5,f,f
13,1,12,2,2000,1.5,f,f
12,2,11,3,2000,1.5,f,f
11,3,10,4,2000,1.5,f,f
10,4,9,5,2000,1.5,f,f
