WE1,WF1,WE2,WF2,impressions,demand_factor,direction_400,direction_800
15,0,14,1,2000,0.25,f,f
14,1,13,2,2000,0.25,f,f
13,2,12,3,2000,0.25,f,f
12,3,11,4,2000,0.25,f,f
11,4,10,5,2000,0.25,f,f
10,5,9,6,2000,0.25,f,f
9,6,8,7,2000,0.25,b,b
8,7,7,8,2000,0.25,b,b
7,8,6,9,2000,0.25,b,b
6,9,5,10,2000,0.25,b,b
5,10,4,11,2000,0.25,b,b
4,11,3,12,2000,0.25,b,b
3,12,2,13,2000,0.25,b,b
2,13,1,14,2000,0.25,b,b
1,14,0,15,2000,0.25,b,b
15,0,14,1,2000,0.5,f,f
14,1,13,2,2000,0.5,f,f
13,2,12,3,2000,0.5,f,f
12,3,11,4,2000,0.5,f,f
11,4,10,5,2000,0.5,f,f
10,5,9,6,2000,0.5,f,f
9,6,8,7,2000,0.5,f,f
8,7,7,8,2000,0.5,b,b
7,8,6,9,2000,0.5,b,b
6,9,5,10,2000,0.5,b,b
5,10,4,11,2000,0.5,b,b
4,11,3,12,2000,0.5,b,b
3,12,2,13,2000,0.5,b,b
2,13,1,14,2000,0.5,b,b
1,14,0,15,2000,0.5,b,b
15,0,14,1,2000,0.75,f,f
14,1,13,2,2000,0.75,f,f
13,2,12,3,2000,0.75,f,f
12,3,11,4,2000,0.75,f,f
11,4,10,5,2000,0.75,f,f
10,5,9,6,2000,0.75,f,f
9,6,8,7,2000,0.75,f,f
8,7,7,8,2000,0.75,b,b
7,8,6,9,2000,0.75,b,b
6,9,5,10,2000,0.75,b,b
5,10,4,11,2000,0.75,b,b
4,11,3,12,2000,0.75,b,b
3,12,2,13,2000,0.75,b,b
2,13,1,14,2000,0.75,b,b
1,14,0,15,2000,0.75,b,b
15,0,14,1,2000,1.0,f,f
14,1,13,2,2000,1.0,f,f
13,2,12,3,2000,1.0,f,f
12,3,11,4,2000,1.0,f,f
11,4,10,5,2000,1.0,f,f
10,5,9,6,2000,1.0,f,f
9,6,8,7,2000,1.0,f,f
8,7,7,8,2000,1.0,f,f
7,8,6,9,2000,1.0,f,f
6,9,5,10,2000,1.0,b,b
5,10,4,11,2000,1.0,b,b
4,11,3,12,2000,1.0,b,b
3,12,2,13,2000,1.0,b,b
2,13,1,14,2000,1.0,b,b
1,14,0,15,2000,1.0,b,b
15,0,14,1,2000,1.25,f,f
14,1,13,2,2000,1.25,f,f
13,2,12,3,2000,1.25,f,f
12,3,11,4,2000,1.25,f,f
11,4,10,5,2000,1.25,f,f
10,5,9,6,2000,1.25,f,f
9,6,8,7,2000,1.25,f,f
8,7,7,8,2000,1.25,f,f
7,8,6,9,2000,1.25,f,f
6,9,5,10,2000,1.25,b,b
5,10,4,11,2000,1.25,b,b
4,11,3,12,2000,1.25,b,b
3,12,2,13,2000,1.25,b,b
2,13,1,14,2000,1.25,b,b
1,14,0,15,2000,1.25,b,b
15,0,14,1,2000,1.5,f,f
14,1,13,2,2000,1.5,f,f
13,2,12,3,2000,1.5,f,f
12,3,11,4,2000,1.5,f,f
11,4,10,5,2000,1.5,f,f
10,5,9,6,2000,1.5,f,f
9,6,8,7,2000,1.5,f,f
8,7,7,8,2000,1.5,f,f
7,8,6,9,2000,1.5,f,f
6,9,5,10,2000,1.5,f,f
5,10,4,11,2000,1.5,b,b
4,11,3,12,2000,1.5,b,b
3,12,2,13,2000,1.5,b,b
2,13,1,14,2000,1.5,b,b
1,14,0,15,2000,1.5,b,b
15,0,14,1,2000,1.75,f,f
14,1,13,2,2000,1.75,f,f
13,2,12,3,2000,1.75,f,f
12,3,11,4,2000,1.75,f,f
11,4,10,5,2000,1.75,f,f
10,5,9,6,2000,1.75,f,f
9,6,8,7,2000,1.75,f,f
8,7,7,8,2000,1.75,f,f
7,8,6,9,2000,1.75,f,f
6,9,5,10,2000,1.75,b,b
5,10,4,11,2000,1.75,b,b
4,11,3,12,2000,1.75,b,b
3,12,2,13,2000,1.75,b,b
2,13,1,14,2000,1.75,b,b
1,14,0,15,2000,1.75,b,b
15,0,14,1,2000,2.0,f,f
14,1,13,2,2000,2.0,f,f
13,2,12,3,2000,2.0,f,f
12,3,11,4,2000,2.0,f,f
11,4,10,5,2000,2.0,f,f
10,5,9,6,2000,2.0,f,f
9,6,8,7,2000,2.0,f,f
8,7,7,8,2000,2.0,f,f
7,8,6,9,2000,2.0,f,f
6,9,5,10,2000,2.0,f,f
5,10,4,11,2000,2.0,f,f
4,11,3,12,2000,2.0,b,b
3,12,2,13,2000,2.0,b,b
2,13,1,14,2000,2.0,b,b
1,14,0,15,2000,2.0,b,b
15,0,14,1,2000,2.25,f,f
14,1,13,2,2000,2.25,f,f
13,2,12,3,2000,2.25,f,f
12,3,11,4,2000,2.25,f,f
11,4,10,5,2000,2.25,f,f
10,5,9,6,2000,2.25,f,f
9,6,8,7,2000,2.25,f,f
8,7,7,8,2000,2.25,f,f
7,8,6,9,2000,2.25,f,f
6,9,5,10,2000,2.25,f,f
5,10,4,11,2000,2.25,f,f
4,11,3,12,2000,2.25,b,b
3,12,2,13,2000,2.25,b,b
2,13,1,14,2000,2.25,b,b
1,14,0,15,2000,2.25,b,b
15,0,14,1,2000,2.5,f,f
14,1,13,2,2000,2.5,f,f
13,2,12,3,2000,2.5,f,f
12,3,11,4,2000,2.5,f,f
11,4,10,5,2000,2.5,f,f
10,5,9,6,2000,2.5,f,f
9,6,8,7,2000,2.5,f,f
8,7,7,8,2000,2.5,f,f
7,8,6,9,2000,2.5,f,f
6,9,5,10,2000,2.5,f,f
5,10,4,11,2000,2.5,f,f
4,11,3,12,2000,2.5,f,b
3,12,2,13,2000,2.5,b,f
2,13,1,14,2000,2.5,b,b
1,14,0,15,2000,2.5,b,b
15,0,14,1,2000,2.75,f,f
14,1,13,2,2000,2.75,f,f
13,2,12,3,2000,2.75,f,f
12,3,11,4,2000,2.75,f,f
11,4,10,5,2000,2.75,f,f
10,5,9,6,2000,2.75,f,f
9,6,8,7,2000,2.75,f,f
8,7,7,8,2000,2.75,f,f
7,8,6,9,2000,2.75,f,f
6,9,5,10,2000,2.75,f,f
5,10,4,11,2000,2.75,f,f
4,11,3,12,2000,2.75,f,f
3,12,2,13,2000,2.75,f,f
2,13,1,14,2000,2.75,b,b
1,14,0,15,2000,2.75,b,b
15,0,14,1,2000,3.0,f,f
14,1,13,2,2000,3.0,f,f
13,2,12,3,2000,3.0,f,f
12,3,11,4,2000,3.0,f,f
11,4,10,5,2000,3.0,f,f
10,5,9,6,2000,3.0,f,f
9,6,8,7,2000,3.0,f,f
8,7,7,8,2000,3.0,f,f
7,8,6,9,2000,3.0,f,f
6,9,5,10,2000,3.0,f,f
5,10,4,11,2000,3.0,f,f
4,11,3,12,2000,3.0,f,f
3,12,2,13,2000,3.0,f,f
2,13,1,14,2000,3.0,f,f
1,14,0,15,2000,3.0,f,b
