WE,WF,impressions,demand_factor,direction_400,direction_800
16,0,2000,0.25,f,f
15,1,2000,0.25,f,f
14,2,2000,0.25,f,f
13,3,2000,0.25,f,f
12,4,2000,0.25,f,f
11,5,2000,0.25,f,s
10,6,2000,0.25,s,b
9,7,2000,0.25,b,b
8,8,2000,0.25,b,b
7,9,2000,0.25,b,b
6,10,2000,0.25,b,b
5,11,2000,0.25,b,b
4,12,2000,0.25,b,b
3,13,2000,0.25,b,b
2,14,2000,0.25,b,b
1,15,2000,0.25,b,b
0,16,2000,0.25,b,b
16,0,2000,0.5,f,f
15,1,2000,0.5,f,f
14,2,2000,0.5,f,f
13,3,2000,0.5,f,f
12,4,2000,0.5,f,f
11,5,2000,0.5,f,f
10,6,2000,0.5,f,f
9,7,2000,0.5,s,s
8,8,2000,0.5,b,b
7,9,2000,0.5,b,b
6,10,2000,0.5,b,b
5,11,2000,0.5,b,b
4,12,2000,0.5,b,b
3,13,2000,0.5,b,b
2,14,2000,0.5,b,b
1,15,2000,0.5,b,b
0,16,2000,0.5,b,b
16,0,2000,0.75,f,f
15,1,2000,0.75,f,f
14,2,2000,0.75,f,f
13,3,2000,0.75,f,f
12,4,2000,0.75,f,f
11,5,2000,0.75,f,f
10,6,2000,0.75,f,f
9,7,2000,0.75,f,f
8,8,2000,0.75,s,s
7,9,2000,0.75,b,b
6,10,2000,0.75,b,b
5,11,2000,0.75,b,b
4,12,2000,0.75,b,b
3,13,2000,0.75,b,b
2,14,2000,0.75,b,b
1,15,2000,0.75,b,b
0,16,2000,0.75,b,b
16,0,2000,1.0,f,f
15,1,2000,1.0,f,f
14,2,2000,1.0,f,f
13,3,2000,1.0,f,f
12,4,2000,1.0,f,f
11,5,2000,1.0,f,f
10,6,2000,1.0,f,f
9,7,2000,1.0,f,f
8,8,2000,1.0,f,f
7,9,2000,1.0,s,s
6,10,2000,1.0,b,b
5,11,2000,1.0,b,b
4,12,2000,1.0,b,b
3,13,2000,1.0,b,b
2,14,2000,1.0,b,b
1,15,2000,1.0,b,b
0,16,2000,1.0,b,b
16,0,2000,1.25,f,f
15,1,2000,1.25,f,f
14,2,2000,1.25,f,f
13,3,2000,1.25,f,f
12,4,2000,1.25,f,f
11,5,2000,1.25,f,f
10,6,2000,1.25,f,f
9,7,2000,1.25,f,f
8,8,2000,1.25,s,f
7,9,2000,1.25,b,s
6,10,2000,1.25,b,b
5,11,2000,1.25,b,b
4,12,2000,1.25,b,b
3,13,2000,1.25,b,b
2,14,2000,1.25,b,b
1,15,2000,1.25,b,b
0,16,2000,1.25,b,b
16,0,2000,1.5,f,f
15,1,2000,1.5,f,f
14,2,2000,1.5,f,f
13,3,2000,1.5,f,f
12,4,2000,1.5,f,f
11,5,2000,1.5,f,f
10,6,2000,1.5,f,f
9,7,2000,1.5,f,f
8,8,2000,1.5,f,f
7,9,2000,1.5,s,f
6,10,2000,1.5,b,s
5,11,2000,1.5,b,b
4,12,2000,1.5,b,b
3,13,2000,1.5,b,b
2,14,2000,1.5,b,b
1,15,2000,1.5,b,b
0,16,2000,1.5,b,b
16,0,2000,1.75,f,f
15,1,2000,1.75,f,f
14,2,2000,1.75,f,f
13,3,2000,1.75,f,f
12,4,2000,1.75,f,f
11,5,2000,1.75,f,f
10,6,2000,1.75,f,f
9,7,2000,1.75,f,f
8,8,2000,1.75,f,f
7,9,2000,1.75,f,f
6,10,2000,1.75,s,s
5,11,2000,1.75,b,b
4,12,2000,1.75,b,b
3,13,2000,1.75,b,b
2,14,2000,1.75,b,b
1,15,2000,1.75,b,b
0,16,2000,1.75,b,b
16,0,2000,2.0,f,f
15,1,2000,2.0,f,f
14,2,2000,2.0,f,f
13,3,2000,2.0,f,f
12,4,2000,2.0,f,f
11,5,2000,2.0,f,f
10,6,2000,2.0,f,f
9,7,2000,2.0,f,f
8,8,2000,2.0,f,f
7,9,2000,2.0,f,f
6,10,2000,2.0,f,f
5,11,2000,2.0,s,s
4,12,2000,2.0,b,b
3,13,2000,2.0,b,b
2,14,2000,2.0,b,b
1,15,2000,2.0,b,b
0,16,2000,2.0,b,b
16,0,2000,2.25,f,f
15,1,2000,2.25,f,f
14,2,2000,2.25,f,f
13,3,2000,2.25,f,f
12,4,2000,2.25,f,f
11,5,2000,2.25,f,f
10,6,2000,2.25,f,f
9,7,2000,2.25,f,f
8,8,2000,2.25,f,f
7,9,2000,2.25,f,f
6,10,2000,2.25,f,f
5,11,2000,2.25,s,s
4,12,2000,2.25,b,b
3,13,2000,2.25,b,b
2,14,2000,2.25,b,b
1,15,2000,2.25,b,b
0,16,2000,2.25,b,b
16,0,2000,2.5,f,f
15,1,2000,2.5,f,f
14,2,2000,2.5,f,f
13,3,2000,2.5,f,f
12,4,2000,2.5,f,f
11,5,2000,2.5,f,f
10,6,2000,2.5,f,f
9,7,2000,2.5,f,f
8,8,2000,2.5,f,f
7,9,2000,2.5,f,f
6,10,2000,2.5,f,f
5,11,2000,2.5,s,f
4,12,2000,2.5,b,f
3,13,2000,2.5,b,s
2,14,2000,2.5,b,b
1,15,2000,2.5,b,b
0,16,2000,2.5,b,b
16,0,2000,2.75,f,f
15,1,2000,2.75,f,f
14,2,2000,2.75,f,f
13,3,2000,2.75,f,f
12,4,2000,2.75,f,f
11,5,2000,2.75,f,f
10,6,2000,2.75,f,f
9,7,2000,2.75,f,f
8,8,2000,2.75,f,f
7,9,2000,2.75,f,f
6,10,2000,2.75,f,f
5,11,2000,2.75,f,f
4,12,2000,2.75,f,f
3,13,2000,2.75,f,s
2,14,2000,2.75,f,b
1,15,2000,2.75,s,b
0,16,2000,2.75,b,b
16,0,2000,3.0,f,f
15,1,2000,3.0,f,f
14,2,2000,3.0,f,f
13,3,2000,3.0,f,f
12,4,2000,3.0,f,f
11,5,2000,3.0,f,f
10,6,2000,3.0,f,f
9,7,2000,3.0,f,f
8,8,2000,3.0,f,f
7,9,2000,3.0,f,f
6,10,2000,3.0,f,f
5,11,2000,3.0,f,f
4,12,2000,3.0,s,s
3,13,2000,3.0,s,s
2,14,2000,3.0,f,f
1,15,2000,3.0,s,s
0,16,2000,3.0,b,b
