0,0,1074,926,0
1,0,1341,309,350
2,0,1324,563,113
3,0,736,1264,0
4,0,149,1851,0
5,0,1261,671,68
6,0,980,523,497
7,0,701,1299,0
8,0,1155,731,114
9,0,1674,230,96
10,0,999,1001,0
11,0,806,707,487
12,0,1249,751,0
13,0,892,759,349
14,0,1106,894,0
15,0,1119,881,0
16,0,989,1011,0
17,0,1421,579,0
18,0,1066,934,0
19,0,1491,509,0
20,0,1101,589,310
21,0,1527,132,341
22,0,645,1355,0
23,0,1291,709,0
24,0,1136,467,397
25,0,615,1385,0
26,0,845,1155,0
27,0,1019,981,0
28,0,1367,569,64
29,0,1142,534,324
30,0,695,1305,0
31,0,547,1453,0
32,0,557,1443,0
33,0,1015,315,670
34,0,1251,749,0
35,0,1127,632,241
36,0,1497,137,366
37,0,1008,579,413
38,0,1016,984,0
39,0,995,964,41
40,0,1105,895,0
41,0,630,1370,0
42,0,530,1154,316
43,0,982,1018,0
44,0,923,1077,0
45,0,1216,260,524
46,0,1097,903,0
47,0,1378,553,69
48,0,890,1110,0
49,0,1549,236,215
50,0,609,1391,0
51,0,956,758,286
52,0,940,1008,52
53,0,1165,424,411
54,0,882,1118,0
55,0,693,1307,0
56,0,1036,964,0
57,0,644,1134,222
58,0,1374,626,0
59,0,1143,444,413
60,0,930,938,132
61,0,1061,939,0
62,0,598,1402,0
63,0,793,872,335
64,0,1349,651,0
65,0,901,755,344
66,0,1313,687,0
67,0,513,1487,0
68,0,959,931,110
69,0,1308,648,44
70,0,838,1162,0
71,0,1256,631,113
72,0,974,1026,0
73,0,1212,788,0
74,0,557,1443,0
75,0,1043,957,0
76,0,997,511,492
77,0,1220,437,343
78,0,981,695,324
79,0,1188,354,458
80,0,685,1315,0
81,0,1655,159,186
82,0,1357,504,139
83,0,992,667,341
84,0,712,1288,0
85,0,983,1017,0
86,0,1026,974,0
87,0,1407,529,64
88,0,1125,401,474
89,0,781,962,257
90,0,717,757,526
91,0,901,1099,0
92,0,707,841,452
93,0,963,1037,0
94,0,1297,675,28
95,0,939,745,316
96,0,1173,827,0
97,0,1100,625,275
98,0,1180,489,331
99,0,920,1080,0

