number_of_agents,impressions,demand_factor,WE,WF,sink_index
11,2000,0.25,6,5,0
11,2000,0.5,4,7,1
11,2000,0.75,4,7,2
11,2000,1.0,4,7,3
11,2000,1.25,3,8,4
11,2000,1.5,2,9,5
11,2000,1.75,2,9,6
11,2000,2.0,1,10,7
11,2000,2.25,1,10,8
11,2000,2.5,0,11,9
11,2000,2.75,0,11,10
11,2000,3.0,0,11,11
