number_of_agents,impressions,demand_factor,WE,WF,sink_index
7,2000,0.25,3,4,0
7,2000,0.5,2,5,1
7,2000,0.75,1,6,2
7,2000,1.0,2,5,3
7,2000,1.25,1,6,4
7,2000,1.5,0,7,5
7,2000,1.75,0,7,6
7,2000,2.0,0,7,7
7,2000,2.25,0,7,8
7,2000,2.5,0,7,9
7,2000,2.75,0,7,10
7,2000,3.0,0,7,11
