number_of_agents,impressions,demand_factor,WE,WF,sink_index
16,2000,0.25,11,5,0
16,2000,0.5,9,7,1
16,2000,0.75,8,8,2
16,2000,1.0,7,9,3
16,2000,1.25,7,9,4
16,2000,1.5,6,10,5
16,2000,1.75,6,10,6
16,2000,2.0,5,11,7
16,2000,2.25,5,11,8
16,2000,2.5,3,13,9
16,2000,2.75,3,13,10
16,2000,3.0,4,12,11
16,2000,3.0,1,15,12
