number_of_agents,impressions,demand_factor,WE,WF,sink_index
12,2000,0.25,6,6,0
12,2000,0.5,6,6,1
12,2000,0.75,6,6,2
12,2000,1.0,6,6,3
12,2000,1.0,4,8,4
12,2000,1.25,4,8,5
12,2000,1.5,3,9,6
12,2000,1.75,3,9,7
12,2000,2.0,2,10,8
12,2000,2.25,1,11,9
12,2000,2.5,0,12,10
12,2000,2.75,0,12,11
12,2000,3.0,0,12,12
