number_of_agents,impressions,demand_factor,WE,WF,sink_index
20,2000,0.25,12,8,0
20,2000,0.5,12,8,1
20,2000,0.75,11,9,2
20,2000,1.0,10,10,3
20,2000,1.25,11,9,4
20,2000,1.5,12,8,5
20,2000,1.5,9,11,6
20,2000,1.75,8,12,7
20,2000,2.0,8,12,8
20,2000,2.0,6,14,9
20,2000,2.25,7,13,10
20,2000,2.5,7,13,11
20,2000,2.75,5,15,12
20,2000,3.0,7,13,13
