number_of_agents,impressions,demand_factor,WE,WF,sink_index
17,2000,0.25,12,5,0
17,2000,0.5,10,7,1
17,2000,0.75,9,8,2
17,2000,1.0,7,10,3
17,2000,1.25,8,9,4
17,2000,1.5,7,10,5
17,2000,1.75,6,11,6
17,2000,2.0,6,11,7
17,2000,2.25,5,12,8
17,2000,2.5,3,14,9
17,2000,2.75,3,14,10
17,2000,3.0,2,15,11
