number_of_agents,impressions,demand_factor,WE,WF,sink_index
13,2000,0.25,7,6,0
13,2000,0.5,7,6,1
13,2000,0.75,6,7,2
13,2000,1.0,6,7,3
13,2000,1.25,5,8,4
13,2000,1.5,5,8,5
13,2000,1.5,3,10,6
13,2000,1.75,3,10,7
13,2000,2.0,3,10,8
13,2000,2.25,3,10,9
13,2000,2.5,0,13,10
13,2000,2.75,0,13,11
13,2000,3.0,0,13,12
