number_of_agents,impressions,demand_factor,WE,WF,sink_index
8,2000,0.25,4,4,0
8,2000,0.5,3,5,1
8,2000,0.75,3,5,2
8,2000,1.0,2,6,3
8,2000,1.25,2,6,4
8,2000,1.5,0,8,5
8,2000,1.75,0,8,6
8,2000,2.0,0,8,7
8,2000,2.25,0,8,8
8,2000,2.5,0,8,9
8,2000,2.75,0,8,10
8,2000,3.0,0,8,11
