number_of_agents,impressions,demand_factor,WE,WF,sink_index
9,2000,0.25,3,6,0
9,2000,0.5,4,5,1
9,2000,0.75,3,6,2
9,2000,1.0,2,7,3
9,2000,1.25,2,7,4
9,2000,1.5,3,6,5
9,2000,1.75,1,8,6
9,2000,2.0,0,9,7
9,2000,2.25,0,9,8
9,2000,2.5,0,9,9
9,2000,2.75,0,9,10
9,2000,3.0,0,9,11
