number_of_agents,impressions,demand_factor,WE,WF,sink_index
6,2000,0.25,2,4,0
6,2000,0.5,2,4,1
6,2000,0.75,2,4,2
6,2000,1.0,2,4,3
6,2000,1.25,0,6,4
6,2000,1.5,0,6,5
6,2000,1.75,0,6,6
6,2000,2.0,0,6,7
6,2000,2.25,0,6,8
6,2000,2.5,0,6,9
6,2000,2.75,0,6,10
6,2000,3.0,0,6,11
