number_of_agents,impressions,demand_factor,WE,WF,sink_index
15,2000,0.25,9,6,0
15,2000,0.5,8,7,1
15,2000,0.75,8,7,2
15,2000,1.0,6,9,3
15,2000,1.25,6,9,4
15,2000,1.5,5,10,5
15,2000,1.75,6,9,6
15,2000,2.0,4,11,7
15,2000,2.25,4,11,8
15,2000,2.5,4,11,9
15,2000,2.5,2,13,10
15,2000,2.75,2,13,11
15,2000,3.0,1,14,12
