number_of_agents,impressions,demand_factor,WE,WF,sink_index
14,2000,0.25,8,6,0
14,2000,0.5,7,7,1
14,2000,0.75,6,8,2
14,2000,1.0,6,8,3
14,2000,1.25,5,9,4
14,2000,1.5,4,10,5
14,2000,1.75,3,11,6
14,2000,2.0,2,12,7
14,2000,2.25,4,10,8
14,2000,2.25,2,12,9
14,2000,2.5,2,12,10
14,2000,2.75,1,13,11
14,2000,3.0,0,14,12
