number_of_agents,impressions,demand_factor,WE,WF,sink_index
18,2000,0.25,13,5,0
18,2000,0.5,11,7,1
18,2000,0.75,10,8,2
18,2000,1.0,9,9,3
18,2000,1.25,8,10,4
18,2000,1.5,7,11,5
18,2000,1.75,6,12,6
18,2000,2.0,7,11,7
18,2000,2.25,5,13,8
18,2000,2.5,5,13,9
18,2000,2.75,4,14,10
18,2000,3.0,3,15,11
