number_of_agents,impressions,demand_factor,WE,WF,sink_index
3,2000,0.25,0,3,0
3,2000,0.5,1,2,1
3,2000,0.75,2,1,2
3,2000,0.75,0,3,3
3,2000,1.0,0,3,4
3,2000,1.25,0,3,5
3,2000,1.5,0,3,6
3,2000,1.75,2,1,7
3,2000,2.0,3,0,8
3,2000,2.0,0,3,9
3,2000,2.25,3,0,10
3,2000,2.25,0,3,11
3,2000,2.5,3,0,12
3,2000,2.5,0,3,13
3,2000,2.75,3,0,14
3,2000,2.75,0,3,15
3,2000,3.0,3,0,16
3,2000,3.0,0,3,17
