number_of_agents,impressions,demand_factor,WE,WF,sink_index
19,2000,0.25,13,6,0
19,2000,0.5,10,9,1
19,2000,0.75,11,8,2
19,2000,1.0,9,10,3
19,2000,1.25,9,10,4
19,2000,1.5,9,10,5
19,2000,1.75,8,11,6
19,2000,2.0,8,11,7
19,2000,2.25,6,13,8
19,2000,2.5,5,14,9
19,2000,2.75,4,15,10
19,2000,3.0,4,15,11
